carrier,1970-1976,1976-1982,1982-1988,1988-1994,1994-2000,2000-2006,2006-2012,2012-2018,2018-2024,2024-2030,2030-2038,2038-2044,2044-2050,2050-2056,2056-2062,2062-2070,2070-2076,2076-2082,2082-2088,2088-2094,2094-2101
OCGT,1966.483649446351,1907.77431896961,1909.0988942150775,1894.7840372885416,1858.2487036825623,1932.8619767014318,1882.5361827541576,1838.9579774861395,1929.7011190630262,1896.0283022980072,,1939.9900159176698,1967.3149613332896,1897.155219134948,1958.6758001557325,1987.5913724134734,1964.861001922547,1992.5911948974265,2015.812014788401,2076.4868551280306,1996.3751789761384
offwind,370019977.25440127,265218003.97525123,507615268.8327372,1550639837.6924312,2477528701.2223954,695883000.510619,1216520074.6405668,1262205891.0366116,852571256.5336637,413490664.3061951,,5362350266.772422,153697818.2652288,324449977.07362515,536195424.5713592,301574255.0954541,414965372.2444087,481397559.7280504,6461337114.369527,434626303.14766204,177304840.20992565
onwind,185.67512226914315,179.97385017241413,177.4624518301207,181.13563843180415,175.44296238464423,176.37928749690988,175.95039065019978,176.89009618512094,182.0816559183259,181.69932737912714,,186.80521788138466,183.46723671061332,181.0901083393393,188.42713928597138,190.44450200347754,192.15043379720308,191.16971472464195,190.36371844657447,199.50844738776846,190.29493078582306
ror,916.7112493548076,894.8894422862813,898.9607651829784,832.4480797105538,839.8075046502938,934.8471955061256,888.8803389285977,820.8812131409788,896.0448237600511,867.5518545276208,,890.4596559338086,917.6472388415638,839.4311236908238,908.0829995582127,914.670520548177,876.9010421859805,923.7955407839119,969.0475623944645,999.2515314319202,918.1420319121952
solar,3955.81204363105,3626.6880309529283,3771.5826370524087,4328.368700064835,5576.474361687398,6210.902012263514,4160.227947639959,3458.1964631902733,3732.708498739119,2778.222408109144,,2720.0486608527362,3671.7821640568113,3500.6959985799,2626.4887091945916,2824.60595804369,2413.644767975474,2279.512518479438,2318.0071963491596,2273.082305205485,2497.3002050064015
