,"('1970-1976', 'ave')","('1970-1976', 'max')","('1970-1976', 'min')","('1976-1982', 'ave')","('1976-1982', 'max')","('1976-1982', 'min')","('1982-1988', 'ave')","('1982-1988', 'max')","('1982-1988', 'min')","('1988-1994', 'ave')","('1988-1994', 'max')","('1988-1994', 'min')","('1994-2000', 'ave')","('1994-2000', 'max')","('1994-2000', 'min')","('2000-2006', 'ave')","('2000-2006', 'max')","('2000-2006', 'min')","('2006-2012', 'ave')","('2006-2012', 'max')","('2006-2012', 'min')","('2012-2018', 'ave')","('2012-2018', 'max')","('2012-2018', 'min')","('2018-2024', 'ave')","('2018-2024', 'max')","('2018-2024', 'min')","('2024-2030', 'ave')","('2024-2030', 'max')","('2024-2030', 'min')","('2030-2038', 'ave')","('2030-2038', 'max')","('2030-2038', 'min')","('2038-2044', 'ave')","('2038-2044', 'max')","('2038-2044', 'min')","('2044-2050', 'ave')","('2044-2050', 'max')","('2044-2050', 'min')","('2050-2056', 'ave')","('2050-2056', 'max')","('2050-2056', 'min')","('2056-2062', 'ave')","('2056-2062', 'max')","('2056-2062', 'min')","('2062-2070', 'ave')","('2062-2070', 'max')","('2062-2070', 'min')","('2070-2076', 'ave')","('2070-2076', 'max')","('2070-2076', 'min')","('2076-2082', 'ave')","('2076-2082', 'max')","('2076-2082', 'min')","('2082-2088', 'ave')","('2082-2088', 'max')","('2082-2088', 'min')","('2088-2094', 'ave')","('2088-2094', 'max')","('2088-2094', 'min')","('2094-2101', 'ave')","('2094-2101', 'max')","('2094-2101', 'min')"
BE ror,0.08348693977376573,0.52687417092,0.000137246285104,0.07661522455695233,0.622457139294,0.000120238059416,0.08517788278986735,0.482626483306,0.0,0.10232090441845806,0.657656957454,0.0001091579329,0.09464621284006393,0.626493500261,0.000114765718584,0.07556293741300608,0.618575465038,0.000119748725166,0.0829217847725933,0.64319024611,0.000164116952644,0.09063141726918487,0.799545820086,0.000150051593094,0.07899870534144633,0.512190926816,7.68250283437e-05,0.09253335131771236,0.650019374962,0.000103616650189,,,,0.0965798658011566,0.692729834638,0.0,0.08627756333256158,0.645586730193,8.51455613127e-05,0.09519135601425521,0.884590943894,0.000118332853587,0.077679272289752,0.719461219692,0.000101519565729,0.09216416348643437,0.78207317282,0.000106831891454,0.0951155040958226,0.689825979919,0.000123689554845,0.0907371943548163,1.0,0.0,0.0806916617804396,0.64019991545,9.65538520864e-05,0.08646896335935812,0.635946731392,7.85841332416e-05,0.09805170170660348,0.757036861418,0.000101112429063
BG onwind,0.2281906845025578,0.986881130037,0.00765885812509,0.2181217029944943,0.980467798547,0.00672032693921,0.21831761554620727,0.975008443523,0.00831345423266,0.21442884741134938,0.948324885625,0.00679665002467,0.22907658090786404,0.957835291917,0.00667858196234,0.21628550391886336,0.965141353376,0.0084187891516,0.22435707015015113,0.973814068876,0.00607545470153,0.21035979761361756,0.978835344588,0.00855071418162,0.2102182510496611,0.981575633782,0.00749320136533,0.2144129912613642,0.983478487705,0.00685483803651,,,,0.21790518447843887,0.978140096163,0.006834751399,0.21726385161972184,0.978816476519,0.00732312384983,0.22400407667761552,0.976896082399,0.00805305828509,0.22651457968705946,0.980410296489,0.0086685429604,0.22368455496583242,0.978140302278,0.00601603395273,0.22097440950667901,0.982484691192,0.00658229320599,0.21688118723614663,0.984406265439,0.00697063797632,0.22689316207673157,0.988203349825,0.00893022672091,0.23137860069116664,0.982233181004,0.00887677955406,0.2318278880472664,0.981141540763,0.00810842387299
BG offwind,0.344395153536356,0.998920823981,0.00356407826211,0.34612634172468054,0.999274622333,0.0038404121312,0.3418024503695902,0.999538395369,0.00426360116998,0.3330046150992497,0.99949443758,0.00415976636428,0.3448922881709079,0.999624794114,0.00324513295069,0.34440934187140226,0.999110101144,0.00434343118099,0.35613168959181374,0.999504009897,0.00380941037432,0.32365856098390877,0.999349989714,0.00315827185417,0.3296808818709097,0.999209579454,0.00349197397054,0.3375371516792081,0.999555555683,0.00396355781206,,,,0.3302758761242899,0.999198238119,0.00336079695467,0.3335296253234401,0.99868412186,0.00428099162751,0.33292838787222545,0.999182862716,0.0038885394342,0.3443798400567633,0.99912540262,0.0030656410055,0.34118337402960847,0.999416464961,0.00350725024648,0.33606189368133504,0.998948565958,0.00245989158265,0.3241534022330599,0.999314309561,0.00362077642186,0.3347308077654685,0.999144206709,0.00329141213612,0.3479765428272947,0.999567705172,0.00411009499707,0.3416326052336601,0.999102313614,0.00320046482883
BG solar,0.14396319365068883,0.786523601352,0.0,0.1424288839708835,0.707005591872,0.0,0.1441425622614808,0.731854702795,0.0,0.14268073830797945,0.719408284529,0.0,0.14541328689546873,0.721407836569,0.0,0.14416419901339667,0.772505391137,0.0,0.1439171364698568,0.775122486892,0.0,0.1439195093470876,0.712951639276,0.0,0.14361002353195382,0.70763094866,0.0,0.14262212224612975,0.747670041853,0.0,,,,0.14498438955717247,0.74158637887,0.0,0.14457070191619867,0.720637974218,0.0,0.14172418026761727,0.705556693894,0.0,0.14264895343672618,0.686809327262,0.0,0.14257151774725943,0.7474885776,0.0,0.14246647997612272,0.69594208436,0.0,0.14345448963306537,0.6910830544,0.0,0.1429584414128101,0.688490140902,0.0,0.14430825026702915,0.682698092925,0.0,0.14197237786927494,0.689280502177,0.0
BG ror,0.3437962011513676,1.0,0.000138074894002,0.35712855319264086,1.0,0.000289039296754,0.343910320446686,1.0,0.000275003838792,0.39666666670730005,1.0,0.000289344718461,0.33731502546765,1.0,0.000373302919104,0.3380090224941345,1.0,0.000111147973469,0.3266780130100515,1.0,0.000197704849755,0.3238792992931285,1.0,0.000201083644804,0.3400770982205191,1.0,0.000182661803777,0.33981086595868054,1.0,0.000246914162093,,,,0.2704222503303206,1.0,0.000183341449149,0.2635003218110201,1.0,0.000176682874917,0.3109140475364374,1.0,0.000157824041161,0.2979273283453131,1.0,0.000170420519756,0.278801234414822,1.0,7.77453933681e-05,0.27255565359493145,1.0,0.000146286280677,0.25692194020392756,1.0,0.000110674902176,0.255487934971584,1.0,0.000169715116879,0.22346264853931655,1.0,0.000191412448217,0.23230642721152736,1.0,0.00012957752232
CH onwind,0.3501767202171805,0.96243616237,0.00695269491045,0.3409178677705641,0.972075460656,0.0065753378659,0.3511298761852209,0.960946040897,0.00578306836813,0.36949044978364437,0.965167742411,0.00626228336823,0.368620741559738,0.971795080858,0.00619847135363,0.3364568632425574,0.962081867864,0.00502032938215,0.34829091450130073,0.974922793176,0.0073451921426,0.34753664670597073,0.976888771966,0.00658214621266,0.3338594605247322,0.959413698987,0.00626844081056,0.34108642102958353,0.950376777112,0.00562300434507,,,,0.3555312636998549,0.961995928701,0.00431733032479,0.34322203752079167,0.966718426232,0.00698536078103,0.35486379186675415,0.960629818604,0.00552038234441,0.34630911391315666,0.958146892601,0.00677806215334,0.3453945067096667,0.967113111655,0.00686362507951,0.34818063739723704,0.971874645597,0.00446926228443,0.34793153427793233,0.976676757216,0.00751126133372,0.33432518020735136,0.971447675767,0.00456409416851,0.3410291518318432,0.964352601257,0.00587234027175,0.36447067912863035,0.971541925308,0.00813260739086
CH solar,0.13957253432890124,0.791921140004,0.0,0.13838130084568193,0.796675327097,0.0,0.13834726490450278,0.757357342056,0.0,0.13491204158519438,0.764499686849,0.0,0.13522030664392115,0.76989702374,0.0,0.13779915367974538,0.780598118108,0.0,0.13681358733420965,0.766237150248,0.0,0.13561423932915292,0.776627565373,0.0,0.1379572051211169,0.780580715278,0.0,0.13418379770938735,0.765529204508,0.0,,,,0.13255447150961316,0.749424028927,0.0,0.1334379816547825,0.757273349775,0.0,0.13037435632865219,0.766582414395,0.0,0.1319931442276614,0.756006042688,0.0,0.13050754871365772,0.765556129579,0.0,0.12800765696520663,0.747626527896,0.0,0.12891886797813518,0.749288115317,0.0,0.1294150916557246,0.75123023558,0.0,0.1282280603375628,0.733512923207,0.0,0.1251735866535791,0.731822497282,0.0
CH ror,0.5694894615614517,1.0,0.000565179509187,0.5693204673747224,1.0,0.000649768178056,0.5693594605858021,1.0,0.000473293445874,0.6058690509801349,1.0,0.000553133615026,0.616122131747949,1.0,0.00116984748855,0.5744753754708997,1.0,0.000477953918078,0.575204314942979,1.0,0.00108361003782,0.6039657953737334,1.0,0.00102064002562,0.6093928422916293,1.0,0.000704455183636,0.6076665976620615,1.0,0.000375857483128,,,,0.6162222941392793,1.0,0.000685873328299,0.6171029223499287,1.0,0.000839859336991,0.6581348163566024,1.0,0.00089699385317,0.6237841766109047,1.0,0.000713200279522,0.6259959128749086,1.0,0.000587342794353,0.6652938490111545,1.0,0.00155028307769,0.6365092408676929,1.0,0.000668743258521,0.6058197762983494,1.0,0.00110273657212,0.6206868668371603,1.0,0.000782194715716,0.6456843741783237,1.0,0.00242997498611
CZ onwind,0.25099084639817376,0.993658033136,0.00562746706972,0.25595234938687045,0.995136514744,0.00483066693027,0.2559708826313166,0.994954976522,0.00517754140896,0.26784860476892375,0.991259270774,0.00648694398856,0.26701224144008007,0.993213966754,0.00480604700191,0.25296217434009766,0.99235274308,0.00517557099773,0.26161053936145795,0.99218291868,0.00591028962875,0.2568115254324462,0.991679921836,0.0057457295596,0.25236080746346756,0.990595857257,0.00406943037279,0.25710972989019837,0.991262773426,0.00573777659517,,,,0.25747228480053086,0.993982903705,0.0046951987837,0.2554314901661111,0.993975440786,0.00473702477786,0.2590943612670026,0.992980242967,0.00581978384726,0.2506091263641728,0.992319040558,0.0057331366068,0.2607007695522983,0.993957947918,0.00413977141847,0.25641441849839924,0.992444627789,0.00456140514648,0.26448251952552426,0.991868026246,0.00455901422352,0.26446823111655404,0.995030128826,0.00492724722375,0.25888046220142236,0.993020329366,0.00528794893718,0.27350229324425857,0.9937213479,0.0053673680141
CZ solar,0.11960579682715125,0.79124717061,0.0,0.11922978434479116,0.791133571286,0.0,0.11935960465093184,0.750373717991,0.0,0.11292847367349508,0.752183938419,0.0,0.11508170960372173,0.730983062397,0.0,0.11818715809668093,0.79064248361,0.0,0.11535422836813193,0.776418638206,0.0,0.11463382219890723,0.707772212742,0.0,0.11766781668426597,0.781197336266,0.0,0.11411475666656057,0.732969669275,0.0,,,,0.11330100583380298,0.68881414621,0.0,0.11355989589604046,0.712861399188,0.0,0.11154762361145563,0.70313784405,0.0,0.11247204494837926,0.704286222327,0.0,0.11054285790121314,0.72365950862,0.0,0.11089700834526799,0.686486484611,0.0,0.10937168669425544,0.685679639105,0.0,0.11191203823740338,0.682346490025,0.0,0.11192612767762347,0.69672471728,0.0,0.10666921947745558,0.675244861201,0.0
CZ ror,0.3311339929227468,1.0,0.000701348204058,0.3061404978238126,1.0,0.000681778711359,0.29770324073604376,1.0,0.000337451268134,0.4288422682903798,1.0,0.00167030862829,0.37122049762806003,1.0,0.000961354044954,0.27157712739625123,1.0,0.000443208548861,0.3420570179019722,1.0,0.00111728726502,0.34569094959123375,1.0,0.00119369826576,0.3306286951723834,1.0,0.000658677985305,0.3298077747683071,1.0,0.000686427164311,,,,0.3264629782491768,1.0,0.00088391776374,0.3396820172019723,1.0,0.00106627072285,0.36065052426182254,1.0,0.000744099952625,0.30810075719056484,1.0,0.000652018549485,0.3503780498400202,1.0,0.000833716319762,0.35654144453193554,1.0,0.000697835509839,0.3363951291552414,1.0,0.0,0.29454039937902776,1.0,0.000798886611373,0.3048771868325343,1.0,0.00108068027129,0.3937889172703655,1.0,0.00058145411161
DE onwind,0.26536524877755224,0.989662076052,0.00638700049149,0.2639158494620834,0.99063068936,0.00957189963715,0.2728373547702723,0.993877127977,0.0104216110721,0.285357569505148,0.987826256679,0.00952658557141,0.2862292001372932,0.990309259281,0.00773479343303,0.2652929030146231,0.991716986122,0.00579505731762,0.27155391824369146,0.993151880123,0.00883504961105,0.2691331977535534,0.992240596,0.00831590231276,0.26604312105589706,0.992482343186,0.00800249244298,0.2671107789183919,0.989260795208,0.00661108450468,,,,0.26913300503666565,0.992627433247,0.00980824389576,0.2703578212039511,0.987138727566,0.00635651264738,0.275766395342755,0.994007719016,0.00796036926215,0.25866047907201534,0.990602757472,0.0104388692477,0.2753350278250306,0.990936293349,0.00914857843607,0.2746531549435814,0.993820727635,0.00814932416308,0.27850548294829147,0.993117743933,0.00696365097157,0.2815562744147082,0.996055700052,0.0085522283824,0.2790484670130459,0.989852455182,0.00731282321018,0.29074414296482515,0.990388193943,0.00991359666411
DE offwind,0.4704427744502164,0.997839857304,0.00747815109984,0.4792173298657389,0.99883688101,0.00652749095545,0.4895175550355522,0.998531587981,0.00778309292914,0.48872395153321047,0.997994543832,0.00694792966202,0.49360322131771905,0.997701025627,0.00995765312793,0.48307642276663926,0.998245425978,0.00930069184546,0.4854563598380648,0.997937929821,0.00946437220375,0.4929017986675476,0.998081524117,0.0114990112621,0.4906460869390743,0.99784638307,0.00714312816283,0.4790284714331671,0.997723550377,0.00724423908349,,,,0.47201075220164773,0.998009077443,0.00694204552678,0.4792126325800359,0.997912807907,0.0064575441102,0.48300196233716336,0.998326720877,0.0076278673265,0.4637286150082884,0.998178194983,0.0113064085167,0.4828590390041477,0.99822672077,0.00728114682436,0.4834425713407497,0.998263880345,0.00721391244381,0.48526802335549213,0.998068379292,0.00605269464871,0.49169737626523286,0.998344613797,0.00663761159351,0.4835002433221132,0.998034912211,0.0079871030883,0.48648820782736907,0.998240502216,0.00671767974796
DE solar,0.10687138887094086,0.724133694214,0.0,0.10642573206265671,0.684380434446,0.0,0.1061238340919167,0.688359500786,0.0,0.09981383143692774,0.664327806082,0.0,0.1020381474716692,0.678483871208,0.0,0.1058216897748123,0.758522829848,0.0,0.10249722247643964,0.677551285264,0.0,0.10207774943515753,0.655317783447,0.0,0.10372623926425717,0.698558652915,0.0,0.10149169733151522,0.667716568182,0.0,,,,0.10029862454118375,0.643981769413,0.0,0.10040160139295422,0.657199224555,0.0,0.09878203938622505,0.65838887094,0.0,0.10086253218312978,0.657655414324,0.0,0.0982325952393672,0.676080200818,0.0,0.09772374687620632,0.677849228654,0.0,0.09756996791319059,0.651862705343,0.0,0.09918342243752215,0.648643028065,0.0,0.0999527004209891,0.685626108717,0.0,0.0938050935459798,0.655349229916,0.0
DE ror,0.5620868731599667,1.0,0.00190699174909,0.5419103792098475,1.0,0.00138172523725,0.5481590273712513,1.0,0.00112051781391,0.6705722834335646,1.0,0.00156043435546,0.6156299997744971,1.0,0.00226119445804,0.49843202662113617,1.0,0.00128604685209,0.5548671230812087,1.0,0.000907162753039,0.5784402565988159,1.0,0.00204533030142,0.558549270825565,1.0,0.00153928374189,0.5894425584385021,1.0,0.00112706705182,,,,0.5825373672732632,1.0,0.00117336911344,0.5726060161290523,1.0,0.00107782335583,0.6193718255002962,1.0,0.00128545409297,0.5447098499640269,1.0,0.00120476699549,0.5788101587531563,1.0,0.00161428156561,0.5956634434750475,1.0,0.00129560211392,0.577732145372411,1.0,0.0,0.5234265342759304,1.0,0.00101471146238,0.500537858259881,1.0,0.00106641032938,0.5960984028188142,1.0,0.00073297933429
DK onwind,0.3310701204902834,0.997539410407,0.00487767671421,0.3420034564975678,0.996902080118,0.00382363827774,0.34759112335347114,0.99797042164,0.00453014992807,0.3392645348950939,0.997269326918,0.00355074329992,0.3551577213503471,0.997043236878,0.00326634719481,0.35080083883338664,0.99818379849,0.00296333914531,0.3429008664316398,0.998295021458,0.0049056103337,0.3536258404828491,0.998375393913,0.00529428582039,0.35368341017555766,0.998484237926,0.00475713635582,0.33725595840143013,0.998060149631,0.00487790579059,,,,0.3407114283984918,0.997772019813,0.00446917520003,0.3431962527577153,0.998135110652,0.0039171957074,0.35274029210086066,0.99747900598,0.00406404510139,0.33159115360794267,0.997566535045,0.00300267631581,0.3513522232629682,0.99745010914,0.00355774232715,0.3491093970572235,0.996857646402,0.00483658989391,0.35441293390762524,0.997687656825,0.00440099387363,0.3647837815120001,0.997983387006,0.00394536485243,0.35622027872823053,0.998464071732,0.0040646055367,0.3640636416758972,0.997752455854,0.00415126627877
DK offwind,0.46494841065732656,0.992886796291,0.011471181474,0.4791864857761333,0.992961618162,0.0107843513975,0.4891342419601024,0.992833491971,0.013274408963,0.47856839254336364,0.993156783381,0.00948409989998,0.4897793402615211,0.992090510302,0.0128403532726,0.4828533891974921,0.993260175221,0.0122680276224,0.4809719195869717,0.992189108339,0.0094741153313,0.4923736675578064,0.992921525324,0.0077125347828,0.4931741373180316,0.992929681612,0.0111525805791,0.4736055994184109,0.993317831637,0.0136514664249,,,,0.4739081355008058,0.993798886297,0.00811162255619,0.47888139813150454,0.994023037039,0.0120249514026,0.4822071102430778,0.993545025814,0.0129066599419,0.4664086500029789,0.99346396399,0.0109604865963,0.48735657011102196,0.992372328782,0.0125241900606,0.48385695632216713,0.992520969819,0.0134734637841,0.4827006994146948,0.993797719415,0.0139765900057,0.4949017352061875,0.99364982005,0.0128116649319,0.4859379781492551,0.993620805504,0.0116778398298,0.489951600132045,0.993490317996,0.00795411545057
