carrier,1970-1976,1976-1982,1982-1988,1988-1994,1994-2000,2000-2006,2006-2012,2012-2018,2018-2024,2024-2030,2030-2038,2038-2044,2050-2056,2056-2062,2062-2070,2076-2082
OCGT,208.1711017587571,202.83536297359677,264.50341413967027,230.64185400153886,204.9531483283629,230.45732628899708,200.2278163146454,222.78642763681273,209.88410285444635,199.49383758799183,230.06147325918477,213.65828318183696,212.54405873492396,232.736313231432,221.49112075185562,221.37401537683647
offwind,300.9220978042349,325.3769317122309,285.4100775357102,294.41131002719084,308.79575866110304,301.3041625294356,276.55643967347345,293.5276881715274,306.0221128512936,307.2509430490708,298.49704304196626,294.94659988116564,303.8712610691104,298.5412234453289,311.8549202629272,290.82884910866477
onwind,139.34396654482367,144.89646755042656,143.92224075446734,147.6037857025716,144.5029478847169,147.78973358115576,145.12727274709306,146.9498894377152,147.72506322997393,150.57323870010643,143.3509089447633,145.55976262443616,151.06710178761372,148.04886989130895,158.45907842758245,157.2268517810474
ror,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
solar,184.41808937383394,182.05666494081245,183.5163763996799,183.02985641089484,183.65166749932848,186.20682881247464,184.38621208101748,185.59166438250526,186.57581951274463,185.0538808111112,186.54190938640593,184.7786694025585,187.0525511108928,186.18503080879245,188.87073908272808,187.57703194389384
