carrier,1970-1976,1976-1982,1982-1988,1988-1994,1994-2000,2000-2006,2006-2012,2012-2018,2018-2024,2024-2030,2030-2038,2038-2044,2044-2050,2050-2056,2056-2062,2062-2070,2070-2076,2076-2082,2082-2088,2088-2094,2094-2101
OCGT,249276.96201551295,202921.80974638002,215413.53750859603,251479.07841872,176472.2734268061,188336.35417098217,183220.38709529242,209717.4222977817,192463.87696740197,208512.54215633782,,199733.8851841242,214309.02970161402,229007.72629013093,204329.6105780648,185033.33171423757,182703.7864955663,172368.2848354944,192459.3090287129,185993.015654302,182546.83797719696
offwind,0.30527313805396,0.41821335149369004,0.21630174387869996,0.06857357245709901,0.044498789448596004,0.16184992171416,0.08968987805371899,0.083101041929719,0.12597555370571,0.28057065506713,,0.021623944496043,0.70642480520726,0.34974399441032,0.20721833742218004,0.3980849326140799,0.27362192067341995,0.24418256985903,0.018318175097324002,0.28612637411308,0.6535187684989899
onwind,652948.4143456564,642581.8527551509,640807.8630371052,627679.3995555674,647235.4777959969,674727.3270517375,644720.5485514263,612122.2457847605,656439.7088687505,623491.5853250764,,642347.4948624403,662586.0436379175,628335.3468513357,645454.9924134879,666852.161466352,650208.7788248904,660299.3979361969,662879.9508274286,685409.9367348579,663992.4330808223
ror,74054.07509444,74054.07509444,74054.07509444,74054.07509444,74054.07509444,74054.07509444,74054.07509444,74054.07509444,74054.07509444,74054.07509444,,74054.07509444,74054.07509444,74054.07509444,74054.07509444,74054.07509444,74054.07509444,74054.07509444,74054.07509444,74054.07509444,74054.07509444
solar,69194.35490705146,73607.1193007479,70019.65039935996,60756.152035286745,45619.29393525945,43523.712493926636,63601.85856836887,73688.59816126143,71297.54526682309,95663.04565303068,,99429.27872049475,74199.91455477393,75186.2797762333,104639.17267900545,99421.5770136481,114015.09531965862,122567.19851307628,122446.31346812738,130387.57570596975,112445.30163940096
