carrier,1970-1976,1976-1982,1982-1988,1988-1994,1994-2000,2000-2006,2006-2012,2012-2018,2018-2024,2024-2030,2030-2038,2038-2044,2044-2050,2050-2056,2056-2062,2062-2070,2070-2076,2076-2082,2082-2088,2088-2094,2094-2101
OCGT,333960823.07626903,334113234.98987395,333960796.481539,334113195.1891064,333960767.0283033,334113222.5355601,333960765.6073001,334113194.8833829,333960774.34897596,334113233.53902507,,333960761.2756397,334113262.25533664,333960792.0455856,334113232.5723803,445382716.5205811,333960800.7086622,334113215.3352268,333960760.43796396,334113217.6494994,389595668.6910691
offwind,1774.8460583348601,2403.353617731849,1255.998836954163,408.2652421944026,250.48434841743222,928.0220141579866,516.796424474768,486.78280578263946,755.8834232865412,1532.04945515575,,120.82025797486037,4276.61255724864,1952.7677743430722,1220.486921675014,2935.392626596019,1581.3043626608764,1382.954768927235,104.1892879821373,1596.271784632435,4386.677328665057
onwind,3536976252.4414864,3541695911.549937,3592670904.177595,3495018177.387192,3537230299.672002,3661397848.4490824,3573127758.0730333,3473456899.87736,3539315790.677146,3486463907.708817,,3468214378.221431,3582688829.8948946,3498675137.067596,3473063942.015956,4648277243.321093,3414962644.1948185,3482513179.1130133,3536399261.6463447,3477455284.0124545,4087229857.3567986
ror,716396246.4705676,712280891.0484691,709223596.8099453,760494695.4912934,738957628.9504544,690802461.4680854,707286681.1676939,748488472.2397188,719210091.834588,730202054.9621527,,727579894.5698276,716294880.8570261,754767653.6342962,720660450.0576533,967822647.4904261,748301714.6923501,720669262.3899218,694704924.1786155,694301367.323933,847122880.5325437
solar,166016102.6084333,175756128.98086992,169044204.68229908,146261188.1659496,111285755.50796497,103977609.44819885,151119898.42591962,177670682.29182103,172647952.60654888,228019234.5700094,,238187114.7775329,179015527.13262397,180985569.6903534,249161361.6538264,313402597.7172035,271865422.0329517,292058519.34515095,290422788.34121215,305216270.86925864,311447987.41145647
