,1970-1976,1976-1982,1982-1988,1988-1994,1994-2000,2000-2006,2006-2012,2012-2018,2018-2024,2024-2030,2030-2038,2038-2044,2044-2050,2050-2056,2056-2062,2062-2070,2070-2076,2076-2082,2082-2088,2088-2094,2094-2101
H2,12653.231373645858,17640.965255186606,18683.29870206703,16051.38142010099,13197.109904913697,15515.866497602317,10471.038329703482,14905.806675216678,14999.835746601702,14446.135126299909,,12268.902555475908,16195.993920562318,19138.255517293324,18149.513155239005,17553.637205395684,15754.696546833562,24367.087926845805,19380.46411503924,15398.745063690805,21018.607541882968
PHS,47460.0,47460.0,47460.0,47460.0,47460.0,47460.0,47460.0,47460.0,47460.0,47460.0,,47460.0,47460.0,47460.0,47460.0,47460.0,47460.0,47460.0,47460.0,47460.0,47460.0
battery,1.9197835573905995,2.1080105939243,0.5005055911190001,0.23794423732256,0.24065384957968,0.9974632379813998,0.21238996346504993,0.27661393752647995,0.5157594788379,0.9557493414535001,,0.08090386479772002,3.8807868821083997,1.1779754533065996,1.1938268220023003,1.7257329610458003,1.5402871786083,1.4520172833447003,0.060477204691080005,1.8054423511647004,3.348105002159099
hydro,122755.92490548299,122755.92490548299,122755.92490548299,122755.92490548299,122755.92490548299,122755.92490548299,122755.92490548299,122755.92490548299,122755.92490548299,122755.92490548299,,122755.92490548299,122755.92490548299,122755.92490548299,122755.92490548299,122755.92490548299,122755.92490548299,122755.92490548299,122755.92490548299,122755.92490548299,122755.92490548299
