,1970-1976,1976-1982,1982-1988,1988-1994,1994-2000,2000-2006,2006-2012,2012-2018,2018-2024,2024-2030,2030-2038,2038-2044,2044-2050,2050-2056,2056-2062,2062-2070,2070-2076,2076-2082,2082-2088,2088-2094,2094-2101
offwind,0.4102045217380285,0.41084994171026656,0.4138492397976651,0.4117140652465779,0.41229128114377445,0.41533375808142553,0.41558139411812317,0.41556680993275585,0.4150782106331809,0.40956665522985,,0.4110686198481295,0.4131120209507993,0.4137808008723157,0.40681327190373207,0.4145247890649986,0.41212452827113644,0.40778628885781326,0.4169378109503496,0.41083041582998975,0.41661656740123587
onwind,0.2865299023054878,0.2834219140178557,0.2854989200089651,0.2886702958267361,0.2935928314747799,0.285117754234983,0.28769661453084855,0.2869947911114683,0.2816244819503278,0.28351394928127166,,0.28764802294735087,0.2858225431277144,0.29118498461701914,0.28182089660786497,0.2874352201131823,0.2869143363578143,0.2881454018666948,0.29115523037045526,0.2883096257382595,0.29786734561055617
ror,0.46460587943639536,0.4586042297829959,0.45842751477844723,0.5008623154859042,0.47541242008919415,0.4473010739199207,0.460513111353066,0.4792842471636429,0.46638449996080855,0.46984016646852905,,0.47058427540183956,0.46640120251450506,0.4837896842785998,0.4609386971223817,0.4728178565129186,0.4836582896135678,0.46815444220479785,0.45368807625206087,0.4498071902559318,0.4839614512947023
solar,0.11664536576397526,0.11655950335017774,0.11635474458777555,0.11389920933489658,0.11541518105078556,0.11585075140173216,0.11438438348868368,0.11379070389570206,0.11532526208039016,0.11361914701429414,,0.11236925411635089,0.11268161307074748,0.11119528656340011,0.11200256082607855,0.11091719775916045,0.11053520344746935,0.10983960031630753,0.11049972557848292,0.11038159957315692,0.10750674265980736
