bus,carrier,1970-1976,1976-1982,1982-1988,1988-1994,1994-2000,2000-2006,2006-2012,2012-2018,2018-2024,2024-2030,2038-2044,2044-2050,2050-2056,2056-2062,2062-2070,2070-2076,2076-2082,2082-2088,2088-2094,2094-2101
BE,offwind,278.3743332135972,282.668449902283,276.6502048407559,278.81465003828527,279.1720818921655,295.9373995050151,268.8298671977641,278.24900255022544,273.7559010005428,297.3876267219336,290.9578435080119,280.22413898211136,287.71607406567637,289.00024392167086,284.00343260615193,274.7258231046763,294.9305000981898,288.45390590941076,288.7322332587388,278.67838177637674
BE,onwind,180.74347357363894,201.89968250035713,206.27724506112833,173.0779685186085,169.77929308716404,201.88211623341306,179.98901459813447,205.13542152001736,192.3326547590068,219.75105281914998,214.5510806401968,183.51028091021377,189.98339211098138,207.97871425482467,187.67151791256697,202.43837367226513,210.5433454516508,191.78276753468643,211.85195162612658,204.22536481723245
BE,ror,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BE,solar,337.3112462315307,333.6904026094954,346.14755072199904,362.4017858474112,353.22016906870965,334.7600939494381,356.623762834591,360.52176719123565,354.49991108642195,372.1967816968596,365.8257369286383,363.9973155816796,365.2831647960013,348.9150495366497,370.05115344966987,371.30472972418215,370.5701047930656,359.14426410302974,363.813378050632,378.3245466368952
BG,OCGT,208.629239308583,134.10384093685062,232.90865653833376,236.48368240273962,134.3757431571433,113.00151768331628,94.7365941693265,146.67098437706338,129.117298697032,98.44215372675433,138.30592315893304,198.94230081547295,156.01076653516708,105.185069030956,108.67686202923286,99.59255070282865,131.9881332003118,107.52367135370427,162.26598145072103,199.65225977233257
BG,offwind,383.0118493718394,375.9378380612623,381.054949468368,405.3894885656721,404.6424369215042,381.53910467234766,369.45750126750806,413.2804970286946,397.12616408524065,397.0519444584199,410.9333329047951,397.0943572788993,396.239903485306,392.88625379222873,414.0988204856036,403.75999301431426,417.27328865599077,437.5769612699065,406.38508371786975,404.87428946004974
BG,onwind,260.40412143869895,269.8402837589426,272.41408227344203,280.79091273445124,257.7428107074499,277.8314592526478,266.8403544010966,286.2394867020344,276.58720574632207,288.43698671003483,276.4780205574088,264.3164853683919,266.53742021457657,268.56101102201956,279.1909159979807,277.4512399001306,281.51366129220935,289.2162163395645,275.8469057778424,271.6089591619502
BG,ror,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BG,solar,183.94237377215143,185.0001770838663,182.2909539366271,183.72424720448691,180.20936963350175,182.24710451568228,226.1279742488746,182.18883483134158,182.66153320820206,185.21920411789213,180.77384317906473,182.39716360979816,186.00582978265632,184.59269192897344,192.31634120809366,185.8892229703782,183.57590340226213,232.3632146541612,184.92161821220407,188.16181972393503
CH,OCGT,289.02287455579915,219.52113385201608,251.90972404037603,305.9661701606351,110.60408125642122,221.37295490098217,166.06985030102757,232.7044563983443,176.47736239641216,224.17422398731244,216.79714554849494,261.4098126264239,263.8810308087503,259.0395940948224,107.95291143745716,172.15559615426506,110.59499261085391,229.2253117525729,187.42559676522473,213.9650114699428
