bus,carrier,1970-1976,1976-1982,1982-1988,1988-1994,1994-2000,2000-2006,2006-2012,2012-2018,2018-2024,2024-2030,2030-2038,2038-2044,2044-2050,2050-2056,2056-2062,2062-2070,2070-2076,2076-2082,2082-2088,2088-2094,2094-2101
BG,OCGT,161.0717598455935,193.727877088481,212.27767175880123,109.85030486941936,199.66257917246642,232.97429639034507,184.49370453491616,154.4874145686779,173.24388155751438,147.11300985617103,112.77213373530756,214.90695960771896,132.57583369250352,162.9450920612028,168.4042379694127,121.1479811257091,100.6582787246449,242.77133723250947,249.05694982405322,109.06481833771086,186.309033511721
BG,offwind,428.1063761969302,414.9918947276828,388.6260288224982,400.1480515003158,395.33356180202026,397.415233043782,378.8639540272051,410.7572557626083,381.3320799596739,386.4075859731732,385.54947007034474,386.7324763892613,384.6598088058682,374.86596493610773,399.84575469602584,398.1550393200005,372.0441529422913,387.25088169592664,374.9381123027541,395.1537973897714,422.2708475355244
BG,onwind,286.571591989629,236.36943696791357,259.5982437271095,278.8077376932203,278.366601978758,244.39989971517633,266.5123380597643,224.02296468541337,236.16408028332168,275.60827177003387,273.18635630429617,283.7721496370091,272.39606720463604,264.169873211175,275.79009643323127,289.57631875317156,256.0773432386625,277.17204168232223,261.7744775815372,284.80804028142796,304.19861916687466
BG,ror,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BG,solar,179.7969524845971,181.60373852464195,180.34642394693415,180.28764291779058,179.8799576434341,183.40108598361113,185.22051863698002,183.28988582943236,181.76597172361346,184.30569051887656,183.10329765885464,182.9707809535456,183.60962369521977,184.90022599900004,182.80240017076548,238.19751977167718,183.36991842158469,186.79121044681187,186.1036775283797,237.67009296668257,187.02218105209622
CH,OCGT,227.6215524375533,262.06234368470837,282.6823196357896,213.89207539149405,254.47128251046112,245.2615265830402,206.42976993176197,265.5746913880654,106.28862115464159,172.29631589695907,107.71810815922339,233.3689250809212,106.2741925213959,245.83648588550932,165.76613143534894,288.5509737044496,100.69493045735855,162.08891149542433,224.90929002712332,224.20698474868465,234.39073647781518
CH,onwind,145.68151203348805,149.9370515307537,153.582136130336,161.00678699490194,155.1612646507314,155.9989271541222,158.3612145024663,148.0134861153727,152.6742452421764,156.8038880006917,150.3671976522412,156.29818992145124,144.36330828686204,157.638222170054,153.56611705309672,152.14292698213947,162.3987783904672,167.61057371336975,157.328032537096,157.10377063145836,153.22202856991612
CH,ror,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CH,solar,184.63165048926933,184.3254169949548,181.26911855191932,183.64964847673664,181.60388866501506,184.47870193726024,182.0045383125711,185.59708501250267,184.06566550982106,187.3199484990911,188.47264640258382,191.28592446016472,193.67771488788557,189.6464025026811,192.88609653907474,195.02615705170746,194.36383839158046,196.7578078190154,247.7057930664668,199.45737760720024,201.05286503298686
CZ,OCGT,214.41451344412621,219.31302611355247,228.706810685551,155.54889501039034,239.73880426404352,225.384725251397,198.9894624773752,163.46986472582768,142.13640824315257,166.26520525139324,184.82514608723218,212.9503676689836,148.95102316163485,220.8753003759727,149.35463470282096,160.100741958549,181.937151934232,226.5027174894395,225.98400507900598,191.64353919205362,225.73358840102316
CZ,onwind,267.29816006336273,258.25461361772784,251.7133944037982,278.17565017342724,262.5905218509866,264.3802775052923,261.8241124431447,251.23829108918162,259.8396255374625,258.489301260823,252.4724721814593,246.3617605289192,252.0493172251346,254.2817248166363,256.7512963995687,255.5728388082627,258.57624585611444,263.7191072261525,246.69157896297813,247.34180068385368,266.36204090843125
CZ,ror,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CZ,solar,266.0124292015749,277.8520641664563,271.08162787239627,267.0218732176256,280.27606483619934,271.0071855147028,274.6490580674985,271.3000426814325,264.76248910651526,282.1719543229179,282.0651749068169,277.76666816008037,289.5269201188477,283.5641503706374,291.7587229414339,283.86526193382286,286.485008672229,287.0979582532811,291.2847163614092,282.78492063339615,297.6724686561779
DE,OCGT,192.7496886051719,223.82194144497566,242.14494982376644,235.0663381893171,224.96335425424004,234.58169682184212,215.34017622882408,225.85347378913983,227.35788801463582,200.55644664284344,238.35277062126966,201.3332163691468,230.49804125938462,205.8842298901032,232.9169429152801,253.81425690142086,202.44035317439187,209.7866987026077,194.27353995914305,213.26414586095228,219.1983427622358
DE,offwind,283.9402993233174,287.8811401379444,282.2565069891571,303.68596018727027,292.2289227607605,286.0317195265039,296.7865424520736,282.77037866233155,269.07044845159345,273.88931179314335,282.8898532101716,260.69478359219175,272.94260078079697,276.11368443185904,267.7524584661627,276.6489188019234,273.49336757594284,289.5042054257107,281.214738705771,280.35768533570524,278.2848733071418
DE,onwind,236.94641426684888,243.76973935471105,237.11234666698795,259.08353301558856,243.40898928139242,247.82658366637924,250.84343055535143,211.4709828229773,243.5672428227449,242.07162487932763,240.35482539904802,225.00537606315234,231.29702166970583,238.53100665390687,237.32786775731446,245.30115510613996,242.35397018653276,258.073140831,243.7688464176696,240.79569295896678,239.0888686807748
DE,ror,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE,solar,300.59739209168987,320.0604098057656,295.94237666626105,307.5753350173076,303.85091252880545,302.2621079825938,302.5367799921603,307.74908365531763,308.6682632264363,310.86716224860635,314.459984806058,306.43571809614264,329.40053797345,309.82306194125925,326.44533916393243,316.65420166560034,312.2644232224906,322.61916651376913,325.7419236158507,319.6505596772191,332.2602983756458
DK,OCGT,212.64520774035097,167.07347259419194,260.1374000860498,144.64306170897495,257.56411492872405,243.76383989256752,169.1585786297533,182.37892528567457,127.65838368619524,181.53003581005015,146.21966349491407,208.51070438109588,106.15753374285096,161.92693093939283,110.45897758269304,249.09180509552314,130.9765967882198,215.78439456274808,180.89297762481826,176.156273019822,210.2031712691656
DK,offwind,313.2483630936647,318.5354415793646,307.4501883563822,337.9375211412864,310.9055650064999,319.1526231931406,322.64397222496626,318.73616029190947,315.5543857886892,308.6156127195787,308.57063049488914,282.42896186300993,313.1919077775837,303.81414408978077,305.84103160800333,311.4740412876865,305.58118111854407,312.6837880919213,307.0056961787519,304.53110236902984,302.57117059016974
DK,onwind,163.40268069931125,180.98543909076145,175.42178358170008,188.41084447039935,183.9687100128224,184.04469264549118,181.85911455943076,175.5923075183746,169.3224418925538,167.17694928504417,173.23013075668942,168.05481729635798,171.57114775890895,175.84897581409655,162.70260166049337,171.51118751319004,169.94002134258463,189.42573197540548,180.19381617891207,180.81530748275406,160.80259155169347
DK,ror,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DK,solar,342.1519053536512,339.2865135145652,337.29019402198236,346.306507309493,340.89471530886885,324.21524880866025,340.19929862902745,348.7622927731331,342.34448572538577,344.60259680319507,341.53805864892234,343.5389290308812,355.431663693336,352.365427283467,373.92910846154393,359.6457731717125,350.91171503947515,353.88827982215935,359.81258433591296,356.7254344437988,373.34175177521433
EE,OCGT,155.52506781804203,113.79128271768947,173.3290113515427,125.36516430364037,156.53719702030182,143.13936843089718,135.58849785077982,151.18694438951692,114.26280760034672,127.39437282702181,117.12123180731103,143.74185453840337,104.56952151543611,154.57432158448475,141.40486894838207,157.65936577977274,112.42841162828371,137.23873965973564,152.02194072115174,138.95322468551504,120.95669986379774
EE,offwind,381.95808850035974,383.557845481407,348.9329625134559,407.45113169660414,375.2388694667619,358.1845331692607,368.9855114682751,371.9405919014851,339.41252717337574,350.2599658459136,361.8661652038669,341.62773986227825,359.71148009360024,342.8243199516711,334.33550500642235,332.4349709821629,336.6140054767931,355.02242918292825,330.53674380275436,336.1913635331349,350.1414888939902
EE,onwind,197.6853094609111,201.19092891899248,203.428872526695,211.51063433842774,203.58929339287684,204.615342292222,211.41109593471768,197.10373993317017,191.77050221916892,198.766897404529,208.99237962241838,197.6135677026736,204.23679636785965,196.3329035996793,194.53022031850367,198.27728349591573,199.05765082101382,211.06366697561114,193.21734426026836,204.3080696950579,203.72928934509926
EE,ror,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EE,solar,343.408252603456,346.9479576278779,318.9743328565769,330.1420663270482,327.19574105208403,314.3136806681299,338.7977614085398,339.8768990812138,340.723959718271,348.36491283872795,341.4266994728856,346.40286027414413,344.64754304024945,345.26781019845276,374.7627846943976,369.60154357061884,366.446477950052,374.98841210544236,377.41691927862587,350.9992796102774,383.881181926529
ES,OCGT,263.35004242284816,261.40816154205464,226.31226356509217,171.7956592822473,277.1175642397758,222.26954691058688,141.36161192435017,236.42074027311332,245.00647393521263,231.38801156368973,173.96496650026577,235.4332014619751,137.87732560087204,272.5453488383318,203.6225184438173,364.370480565819,136.0036687249188,138.6841355902028,321.4998083906907,178.69121471687603,255.606067977296
ES,offwind,311.2392688881851,312.4498267247326,314.6308878244044,330.5547090212114,306.5026784701956,313.9108260390031,318.56382088914506,323.5519296674613,298.0776289257641,311.7603521930696,312.3147524377105,295.04903025547543,310.7530214763445,309.1694690585251,316.28605677455073,317.9263079936337,307.19920654574145,314.74663574041193,305.5401495507724,313.8260504137408,323.28287259417567
ES,onwind,170.0846887911914,171.13273704301508,177.96591888587773,179.28008299358152,173.48407042682922,177.12378069567754,173.60742167635487,166.77792026245106,180.4824981609055,174.94746497283566,179.15803724105157,188.06619359725877,178.53965802109263,175.9178479009508,178.7739970491647,179.58706718317822,184.20091026869366,185.46466265942612,186.6241456210125,187.70133436927304,183.13129289251435
ES,ror,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ES,solar,186.2696388196446,186.27374448470295,186.3005699429254,187.93630325156158,187.06610018401693,189.1164611766494,187.84156781511018,186.8138115697333,185.4613730891383,187.80495114316676,189.22196525207144,187.03010805654085,185.93232412281378,187.084810865062,185.41483258916384,187.24398174507377,188.40571409731493,187.0181498088201,186.50247882305268,186.03272527653232,185.87460002429205
FI,OCGT,198.02908826020442,189.62188243932886,251.4033502856407,147.9414626411405,232.19034135928538,224.07471735987852,150.03111833192702,160.33478438954913,150.4165444676459,176.43903129473165,154.7066900536681,198.42361021791822,124.8184204480252,165.2467941039973,150.01601892743778,246.10334816575732,154.56693621641293,197.24506694165908,157.19448898156833,170.05127174327882,167.07223693017082
FI,offwind,395.10805737276524,399.22853552834016,362.6889025666117,436.49506777821995,392.0647051804779,369.7699382650192,389.85206712300266,385.81472180062207,363.1391704708527,360.7112995199569,375.1893271070221,353.13235857274054,388.7329443936464,360.2307542427369,356.7790803373583,351.46526180084356,346.15759237523605,360.03408635902775,342.0624850184974,356.22541553366415,363.8477480816833
FI,onwind,210.420159211244,196.8497841038155,213.9293565131073,216.08501053077978,216.14630296195688,218.72116817770458,226.66404272771067,204.1908755752297,208.150570204359,199.65493760652885,210.97663274437696,216.02297639661268,220.2403276507863,197.48855476847137,203.63440244327418,210.38818028892533,208.66909276755976,220.17010517418248,203.61798042280387,244.6525681520516,205.86856868905446
FI,ror,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FI,solar,363.5556138581268,359.7769468538174,349.23926899010854,362.97591154222295,344.8805755904311,338.84089273649255,361.4487857087909,358.2336729360045,365.7027112016648,363.21117605282996,357.54224642456364,357.4638327192603,362.3831435842606,370.7629754371476,393.4918566739608,394.89141122005793,388.4339164641982,406.9601417193204,407.56656766342826,382.83259253212924,404.9503087147765
FR,OCGT,327.21125958093126,294.25479896974593,337.45125505248814,325.29615188065634,321.390527298059,385.7233618382763,296.4580374501583,341.07819668822657,327.9700473179494,330.9677904342558,319.08424190762463,324.2632487355986,299.21705441581196,268.8448653602178,370.67598803636815,401.37633714144135,326.8780825077461,330.9434787089225,350.413850633819,318.1638397383128,310.30824497622524
FR,offwind,275.94645738558137,277.8000923253305,299.04410073354427,304.9734453313326,290.9130794440741,301.19388185114116,289.31537825075776,297.06344989633766,279.21503991213393,300.35095349805704,300.7805175232319,277.5668229406659,281.6599320084059,291.63939852659246,315.8806921158139,300.2021794381734,291.8490253298532,301.7278494766631,290.946464310888,299.2728797295882,306.1646224545106
FR,onwind,173.1771342684552,178.26397420625068,182.86549929268645,185.27358587163954,182.99904653093455,181.56769762393407,185.9845452094253,174.87157021146356,178.3532333139167,177.5590685586274,179.24506793664415,183.6649746933167,174.22113190356208,181.77945651827332,182.35653308567123,180.92999534843295,194.2003644157218,201.37436806773567,182.13189331520357,185.00472080023152,176.0806225456111
FR,ror,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FR,solar,290.18467986961883,331.01665210999937,296.5499356731577,298.1684965815375,289.13800796087327,302.97717937789207,293.92950489367075,302.1963427050599,292.0000307685085,301.6877268137292,308.72028042864866,287.8652028619971,320.9751520385053,291.8235390815096,304.4309302701414,300.93540903602326,291.79911121340035,304.05061659587636,291.3713533165893,286.96458167630885,304.75367810501854
GB,OCGT,288.8478442629112,279.5933158891447,323.85585485682014,209.49366620020842,283.1654612697856,393.1898195820858,239.1927422872427,317.7358460798826,238.45488029657452,351.293302098449,264.68882319954815,331.0212569785713,225.95112962733745,281.5185366972904,185.39931697911925,320.5302238768146,236.5181586755915,302.84271258394705,353.70401099808095,325.00724863488796,271.5452675302299
GB,offwind,260.3965836347385,274.6586128727505,265.82845655616,271.9097416066435,273.2940041572739,284.6329258625571,266.4049785713111,275.99803742000785,251.39439617370425,274.9228619220066,280.8159310945134,253.4475142823553,272.4167251442879,276.9511636734867,286.5333140149576,280.94346945015394,268.79968194362823,272.86395777772606,267.4330622815495,280.75365154456637,291.9112549044053
GB,onwind,147.98558006745026,145.6501790558705,145.73662123076713,146.20103477594927,153.7552264620776,148.24437007786747,154.7171241046137,145.20859746229536,147.12309800841314,145.5659774306637,148.37503643824604,150.56301606737773,142.9947753645864,147.86161110720792,145.25083710122462,147.52473978433332,150.92331451093582,154.34354386327018,149.26948555095169,151.07215900195789,146.82420163534005
GB,ror,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GB,solar,354.0428593427033,356.20533945286843,338.7138167864896,361.85637304244426,349.8027148681955,349.08391701329964,343.27625294176187,354.9917193067586,361.15460573307115,354.08824136013,363.5189919209791,351.3544050046865,364.4032319512624,366.95917361720535,368.2447161213608,356.00342119832766,357.5303708026347,377.4674288693397,358.9072606259716,365.37145101268953,381.6480539662694
GR,OCGT,166.31979239496823,197.26716223588065,218.12019771864166,112.15781728758833,205.95058491292318,236.8098248114058,190.57934571848614,158.2140999804565,177.20330709441873,154.14487516950783,119.5833749359708,239.41257875060458,133.95791259751186,169.1323040682457,163.6129225246232,123.407878427652,103.24852909351118,253.22532521410628,260.5937595043928,111.45373389263585,190.2599781805668
GR,offwind,435.7109804543092,407.87444517765897,408.74369609202614,425.450957582964,422.74639566792473,439.9918485582657,409.26299430724293,430.0909128103346,381.4774286583769,420.97874606832136,431.02262448542547,389.2758159577776,409.16776293989267,418.41667525150086,445.4087333563326,434.62483642133446,402.5493693449878,409.1176520000289,414.1122885463979,422.579233832472,436.24391888627144
GR,onwind,194.12975413936624,179.89148617780185,187.2333516509234,187.4208756749539,187.94166575524014,189.3612685683131,182.08676823198292,180.53018939306645,177.0426155983361,185.50518186447988,186.84371537685618,191.04681963016574,189.23401029089365,189.4298326109594,192.70154139657214,190.51791967602202,184.7734667128302,187.59590815485126,188.93547301664432,188.66008986409065,194.38707259983977
