carrier,1970-1976,1976-1982,1982-1988,1988-1994,1994-2000,2000-2006,2006-2012,2012-2018,2018-2024,2024-2030,2030-2038,2038-2044,2050-2056,2056-2062,2062-2070,2070-2076,2076-2082
OCGT,176424.42817814468,170139.7852162409,242774.877477016,202891.36399947802,172634.18003760025,202674.00106774355,167068.5036195975,193638.93831219003,178442.08220248244,166203.99386143347,202207.769729124,182887.430365523,181575.05132436086,205358.28792750702,192113.264603076,178034.1984407219,191975.34565178063
offwind,0.34213152606443,0.20215581334736,0.87276256109424,0.17278234106837007,0.05315396660737,0.0076466261479243,0.29541437244012,0.42117750752549005,0.4916740460771,0.25894713820278004,0.25441385174921,0.055887837346155995,0.027179672165477,0.10093246292622701,0.16377754737448003,0.30321483796314,0.23623753419962004
onwind,632717.2186705853,640892.8658388599,649242.0164908799,647877.1497226142,639847.3558068624,648846.2688843044,645402.0617612235,626767.5642937585,647028.3614723064,663320.8860911945,622721.6746790925,626116.4827847708,643580.7030757194,636778.1084532575,665105.5039403045,659719.5446209155,665411.1570335353
ror,74054.07509444,74054.07509444,74054.07509444,74054.07509444,74054.07509444,74054.07509444,74054.07509444,74054.07509444,74054.07509444,74054.07509444,74054.07509444,74054.07509444,74054.07509444,74054.07509444,74054.07509444,74054.07509444,74054.07509444
solar,32872.6755952422,44860.887016198285,69136.33453830854,52880.76462167755,59486.60156583965,49740.772452421785,57055.15001601006,105644.90218736674,61358.97346868258,74625.71760970268,73950.15639068239,86835.66553356255,86679.48186032966,108530.19385411753,125793.78372515821,115352.26089405,112824.56563678541
