,"('1970-1976', 'ave')","('1970-1976', 'max')","('1970-1976', 'min')","('1976-1982', 'ave')","('1976-1982', 'max')","('1976-1982', 'min')","('1982-1988', 'ave')","('1982-1988', 'max')","('1982-1988', 'min')","('1988-1994', 'ave')","('1988-1994', 'max')","('1988-1994', 'min')","('1994-2000', 'ave')","('1994-2000', 'max')","('1994-2000', 'min')","('2000-2006', 'ave')","('2000-2006', 'max')","('2000-2006', 'min')","('2006-2012', 'ave')","('2006-2012', 'max')","('2006-2012', 'min')","('2012-2018', 'ave')","('2012-2018', 'max')","('2012-2018', 'min')","('2018-2024', 'ave')","('2018-2024', 'max')","('2018-2024', 'min')","('2024-2030', 'ave')","('2024-2030', 'max')","('2024-2030', 'min')","('2030-2038', 'ave')","('2030-2038', 'max')","('2030-2038', 'min')","('2038-2044', 'ave')","('2038-2044', 'max')","('2038-2044', 'min')","('2050-2056', 'ave')","('2050-2056', 'max')","('2050-2056', 'min')","('2056-2062', 'ave')","('2056-2062', 'max')","('2056-2062', 'min')","('2062-2070', 'ave')","('2062-2070', 'max')","('2062-2070', 'min')","('2070-2076', 'ave')","('2070-2076', 'max')","('2070-2076', 'min')","('2076-2082', 'ave')","('2076-2082', 'max')","('2076-2082', 'min')"
BG offwind,0.33545292934732424,0.999178128149,0.00424030136421,0.32966701738965104,0.999427142677,0.00277606992422,0.34127810206252623,0.999192724032,0.00358685086506,0.3292641328085542,0.999207189807,0.00483431569154,,,,0.321293778787028,0.999265403508,0.00390725675604,0.31769139572348387,0.999021513176,0.00368633556905,0.34721737394695457,0.998918448405,0.00335475294595,0.3382504869650004,0.999030710229,0.00394164144769,0.33119720076384146,0.999112622866,0.00423625305562,0.3260010759337197,0.999560407215,0.00272937496427,0.33439080758038103,0.99922067767,0.00377064813661,0.31762766027528216,0.998782403483,0.00336516360847,0.3266696225399478,0.998827762245,0.00334623980831,0.3361072960624043,0.999321228379,0.00287801498575,0.337104274056795,0.999246561702,0.00438094122995,0.3275037880364309,0.999375061423,0.00339149910935
BG solar,0.14770250693884865,0.745686251625,0.0,0.1486823693958655,0.721468978184,0.0,0.14732093633138743,0.743566696439,0.0,0.14369563037426494,0.776263444076,0.0,,,,0.14700298780287352,0.731342252457,0.0,0.14773290442626846,0.734166019676,0.0,0.14411511927057447,0.72729083218,0.0,0.14499729032161315,0.717459514943,0.0,0.14391444653289678,0.719505582372,0.0,0.14508014870736594,0.723953518537,0.0,0.14395866865966134,0.715398643849,0.0,0.1462058568508699,0.691072109706,0.0,0.14404044418284837,0.694859340374,0.0,0.1440484523859151,0.718166840257,0.0,0.14159447917986318,0.723420780302,0.0,0.14407708598991376,0.70080345499,0.0
BG ror,0.34372738282250476,1.0,0.0,0.35158541399521437,1.0,0.000197007903034,0.35923659001741276,1.0,0.00010116269843,0.40809416757926975,1.0,0.000481202620155,,,,0.3128481598135507,1.0,0.000207333166825,0.31133786747893555,1.0,0.000143427260038,0.36610549600512843,1.0,0.000249329369948,0.3686634779346617,1.0,0.000272736714455,0.37811820509964433,1.0,0.000403999931218,0.35324442389972066,1.0,0.000212354479477,0.3371516689281396,1.0,0.000143992202072,0.2981037866043019,1.0,0.000166934851381,0.32684208179324276,1.0,0.000204541951337,0.31487571980361784,1.0,0.000182670230578,0.33619854728053716,1.0,0.000135231526649,0.3056514370087626,1.0,0.000205899340148
CH onwind,0.35243345628704076,0.972698662319,0.00708958749901,0.3618641823227442,0.968359194215,0.0055055529197,0.33769986814177594,0.948984337172,0.00632305774927,0.34996985721376783,0.963701625779,0.00674592848264,,,,0.3506392021234579,0.962396726404,0.00756961875816,0.33703460129374263,0.96092863264,0.006957514631,0.3267126959313969,0.951927732938,0.00790668117733,0.33743050435726174,0.972294061459,0.00641923561069,0.33950613412460284,0.961999327245,0.00803980350653,0.3256131761958096,0.961091379309,0.00621290523048,0.3531981075860751,0.962126217314,0.00566566525335,0.3233531178995003,0.964261578032,0.00683681618237,0.3240645212596008,0.971503640507,0.00457283161495,0.3121340995144705,0.966851587365,0.00561291260433,0.31444080581989653,0.962157131426,0.00676259651712,0.32809277331290587,0.966053295313,0.00740705895827
CH solar,0.14594496736702703,0.779799876568,0.0,0.1446949017449841,0.803439935059,0.0,0.1468017049944652,0.80101027732,0.0,0.14568064345546664,0.784534013926,0.0,,,,0.142635936132045,0.799270020236,0.0,0.1424472535744397,0.773093776087,0.0,0.14278399153684873,0.789478196424,0.0,0.14179537363032202,0.78178597286,0.0,0.14154171134797494,0.769160297585,0.0,0.14101995180893767,0.789295624931,0.0,0.1394870376765142,0.790060891989,0.0,0.13859165640806362,0.761530852461,0.0,0.13779450775507804,0.773740252706,0.0,0.13817075265719936,0.782389715921,0.0,0.13789900566967755,0.7743931894,0.0,0.13546863118140715,0.747838251334,0.0
CH ror,0.5170325654211805,1.0,0.000462137558844,0.5184348732468046,1.0,0.000684159021606,0.49902139151054814,1.0,0.000656180714919,0.5461477291723714,1.0,0.000649071763062,,,,0.5508904740652997,1.0,0.000547921329534,0.5453288948768192,1.0,0.000768127607333,0.5532192650186265,1.0,0.000913477828838,0.5358335593695144,1.0,0.000983891816371,0.5500641710321372,1.0,0.00095073963112,0.5679915513398217,1.0,0.000715315955989,0.5904909486018821,1.0,0.00123484045245,0.605545129876678,1.0,0.000758906489833,0.5947551149056991,1.0,0.000915877347762,0.6118886656211795,1.0,0.00061109756294,0.5743950612544104,1.0,0.00107520837206,0.6503071809404993,1.0,0.000633532682292
CZ onwind,0.2599948077940287,0.990728390194,0.0058276738927,0.2742106536535501,0.992266067949,0.00499604320294,0.25514454839052225,0.992763640024,0.00660273811654,0.2637180345930524,0.99365426696,0.00467790078622,,,,0.2581220156365007,0.991837619993,0.00504192821738,0.2566187434441445,0.984081819783,0.00582253639554,0.24155893963998493,0.990634050985,0.00293014456056,0.25515290867655777,0.99058750454,0.00416811070955,0.25586654986938717,0.991920605762,0.00564319668143,0.24573871937174102,0.993898591127,0.00447331482547,0.2688745846945392,0.99327952168,0.00582958809115,0.25275335330051935,0.992171677591,0.00462778183208,0.24878697632049063,0.992208523298,0.00600848701332,0.24354049715060075,0.995069986008,0.00476145844974,0.25105713704543486,0.988554800802,0.004731974858,0.25650824264197253,0.995127969877,0.00515365014527
CZ solar,0.12410708341937915,0.79623348411,0.0,0.12086054076906588,0.777894881163,0.0,0.12613681125637713,0.826854979231,0.0,0.12259765872574872,0.806027840568,0.0,,,,0.12036386719359515,0.755850744622,0.0,0.12046915785178933,0.755139712765,0.0,0.12016727544459599,0.791967221091,0.0,0.11662014665583284,0.710464424677,0.0,0.1184452213630491,0.772522576452,0.0,0.1190259344765781,0.743288123312,0.0,0.11606750250138088,0.713187835716,0.0,0.11765537186151703,0.751325057344,0.0,0.11626943538525877,0.735345161119,0.0,0.11670083910494981,0.768251788632,0.0,0.1163619139440978,0.774200186393,0.0,0.11554512161326762,0.715162362988,0.0
CZ ror,0.2931847090578479,1.0,0.0,0.35671908281938913,1.0,0.000688021233319,0.25974991144775716,1.0,0.000333970779057,0.3336155005218577,1.0,0.000808642828135,,,,0.33807626323558265,1.0,0.000357955595725,0.29372336308099173,1.0,0.000950538101924,0.32036402196445185,1.0,0.000937061003289,0.36373714633589915,1.0,0.00101304753218,0.3362967468101874,1.0,0.000535542428882,0.32699268566798606,1.0,0.000886496283911,0.3678274004621558,1.0,0.00111712030346,0.2759170029064134,1.0,0.000456211437889,0.3310790920865603,1.0,0.000624972819375,0.3340812767073013,1.0,0.000605795476881,0.29463983882624317,1.0,0.000837290022287,0.335259747896491,1.0,0.000823771484854
DE onwind,0.2810155762757423,0.990311788792,0.0108897452243,0.29524128484038514,0.990480414499,0.0100968577608,0.2752308681364906,0.989171027186,0.0109299963365,0.2766841326150954,0.992976052478,0.00840575182376,,,,0.2876914692226889,0.994071928178,0.00773410287907,0.284403714496927,0.983990369117,0.0107820932264,0.2594083995897349,0.98370502013,0.00690544884866,0.2719956111293617,0.988591419092,0.00454425271393,0.2757860634071838,0.993510309056,0.00737490709004,0.266838620321358,0.990105152459,0.00923595803964,0.29429599697766656,0.991980529777,0.00919607250811,0.2725131811215568,0.992219335947,0.00806097855297,0.27226963016216754,0.992256695924,0.00642207425482,0.2512296115997334,0.990748654082,0.00613395576338,0.2645039599921916,0.991096507198,0.00584186544759,0.26901283608210574,0.990930178123,0.00606666949292
