carrier,1970-1976,1976-1982,1982-1988,1988-1994,1994-2000,2000-2006,2006-2012,2012-2018,2018-2024,2024-2030,2030-2038,2038-2044,2044-2050,2050-2056,2056-2062,2062-2070,2070-2076,2076-2082,2082-2088,2088-2094,2094-2101
OCGT,333960765.1155046,334113188.9160268,333960809.9874517,334113193.9396854,333960785.8308531,334113201.5887551,333960823.1431738,334113197.0624732,333960770.7185947,334113257.13609225,445382658.69373465,333960763.93926615,334113233.65825135,333960800.570115,334113233.48364335,445382780.539371,333960769.8543348,334113200.45694864,333960766.53704727,334113306.218026,389595506.82876825
offwind,242.4382516738459,234.87049027638602,1728.6403369129787,526.549102989256,756.9311026687589,606.0928398527112,9717976.512968075,653.5220827050078,705.9680482099318,3361.546969168021,943.2684959420341,193.17049550363248,2402.1728114630823,1548.3293868697344,1951.2616228844051,5613.319901477125,451.34461833380726,741.9197384073012,390.39130932072055,3868.314856427843,23268.274354489633
onwind,3591304283.8622236,3645219777.575664,3579011982.7524424,3562710015.2660084,3628570359.881459,3527304161.4453,3630858106.0159807,3572895046.17066,3637391142.0028443,3619420175.282226,4652579989.354954,3454030803.5553074,3433284799.2597675,3537184429.9653215,3503349857.5838966,4643025879.058018,3447867086.5846457,3465333670.9332275,3426883728.452581,3495532352.616668,3931408742.194302
ror,703633569.8417214,695795884.5600853,683712884.7547802,688453084.8892856,679644639.7979851,709967076.6060866,683585136.5532186,699309471.9993621,670631425.0464388,703905108.9707962,969532145.6316867,726809846.6324363,740899935.457551,710696939.1864594,725144219.1700466,961207601.9680278,731877750.890945,723467323.2085018,753522095.2591491,703242992.5277679,875079174.1259122
solar,170748878.8299021,152129427.97215703,241579626.41110855,255510751.1094157,192209548.736984,233448342.3745117,154892413.48997897,177426135.94926733,195580475.526301,152111388.06203306,295413495.7073206,239135424.6424425,233049661.56799218,213109873.07854158,260593167.7085092,318287668.4322121,238746817.85129547,260588142.2742375,260652751.3061379,300236520.8094145,396036768.6592244
