bus,carrier,1970-1976,1976-1982,1982-1988,1988-1994,1994-2000,2000-2006,2006-2012,2012-2018,2018-2024,2024-2030,2030-2038,2038-2044,2050-2056,2056-2062,2062-2070,2076-2082
BG,onwind,282.4105597772227,281.71539524516817,271.54088041115284,275.4920937834849,272.29107041519944,293.64644547248963,285.313281734479,279.1924767059152,271.49677003411574,274.63376885293565,297.11741693135303,270.7985650819484,295.62057230323524,279.4742157749038,281.629260181252,284.95465623706235
BG,ror,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BG,solar,178.5431324699719,176.58690714193105,179.32671156665467,182.70478635895228,178.704056231139,178.21533668995394,177.4868986028195,182.39004803923666,182.7906593825175,182.7544789466217,181.16128868106884,182.03376271108834,179.2396122004705,181.98681191274832,182.38390221590328,183.46328215789126
CH,OCGT,107.39376207147727,147.38201238642003,278.58581230014795,255.19913946579143,112.08851659290431,231.80934354978294,168.3933761069031,202.61785239581036,190.26924548228862,106.52854985867926,209.36503667874862,209.41492256125923,102.94442878719404,236.4908779999728,223.98497234034417,214.55977059278834
CH,onwind,151.51244064761104,149.35565322744756,158.98162170050517,154.3796257688705,161.5500958010816,157.21005491360884,164.3194686344363,165.46070676050286,162.58712035474446,158.4043139231702,171.18863615622365,155.41342504569366,170.34824214083122,175.23111385003568,182.3221302867935,164.56742546984808
CH,ror,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CH,solar,228.08952433841102,181.49260700377553,179.65031090872188,179.99525291484326,181.13155831893795,183.86272696621091,238.2391214049625,183.6303109314198,185.90428406188676,189.9964591784326,235.17150493785132,238.22784432657346,229.09069411148434,242.58750982746298,189.68829555529445,193.66685043499174
CZ,OCGT,140.72233020553207,152.06323290883233,241.02310970211477,238.06746090351726,186.78637594997411,220.07871805086563,143.98161862423882,192.80673396144988,182.61261390289266,149.84056239490002,204.6065108355395,200.72903887659842,146.19327748615964,218.50277097344878,156.73302731963224,204.6294546644982
CZ,onwind,232.5726031866982,246.45284587232922,243.1838365634337,232.18855956547253,237.81156296475342,246.45156204619218,248.93200165413762,254.3369501295785,247.11216346450084,241.0454100121154,252.4402527213973,238.16377369818113,258.3216665952804,246.89542630718813,261.7776602926733,241.68851620240326
CZ,ror,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CZ,solar,270.09788519173867,280.2676577832237,261.4268108858819,269.7561193621298,283.23044915006284,279.8567973955114,284.79676723921665,274.6501814289475,288.60879406407736,282.27401193318053,280.3308907795438,287.62322382884514,285.6282601088356,287.01320159298075,288.7959865826458,281.9211875616748
DE,OCGT,172.52343274629527,204.19169492538026,248.34459056803956,220.91505766754148,195.6687988633927,195.522681665931,217.1952378479191,191.5907067221469,194.40170409699013,188.6677469148315,196.53786563434522,201.88724584931975,202.8790307752021,206.43022668497136,293.86945114284674,189.68070001418124
DE,offwind,261.4490452251372,265.67941956825297,252.16801828160075,263.60187021220014,271.48642569122774,253.9890904299827,246.47823166827547,264.30055498936366,260.85648759450896,262.3121315457234,269.7378903540797,250.1521749898237,263.4215789576882,267.00819201769815,280.4288128379477,274.0253475032993
DE,onwind,225.01415050585058,231.1287375068988,224.32502997037813,226.090702953115,234.32632985196867,222.1190122358484,230.14304634491924,242.99342079910394,230.19219374925405,219.64811750560017,236.7565340893681,223.88419226715138,251.66393644597886,228.879340876351,254.23653861262054,230.8823162884174
DE,ror,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE,solar,317.21359310819247,326.8145433470026,305.0995925615067,303.1438833725585,315.48174013163947,316.7412023925887,330.8103946250978,300.1393704048096,323.51673328030864,330.3548426434607,321.28361215229137,333.8421871734433,317.6476745612636,318.5358553724561,317.529631523809,307.5527874860796
DK,OCGT,198.475555994992,118.51059906630158,275.7779741794076,208.20043212623077,136.7306785358187,220.5018493009549,171.75457162878908,205.09717947682032,174.33942536255498,199.83859571000914,224.96051583894246,211.31411780861973,192.054975437528,237.33063274296802,160.6845248140489,214.6351476824188
DK,offwind,275.1326402952471,318.04548711404834,279.2395409977612,283.9197349643548,291.3462510126057,280.13062078230985,279.57153078970805,280.7857056338584,296.8581587108942,296.4085571560705,289.6317571366991,282.8847294317398,284.1557992601347,281.7079891672217,295.21469491253634,297.58311953375437
DK,onwind,145.28014236864192,148.87665590945625,145.48554701715912,161.15332719254627,160.47946747631713,146.3068344749138,150.9698444108253,168.81293229414945,163.0107426345964,152.44108089839102,165.3032204393719,143.36219632214454,159.6599092212787,158.31453619258338,178.25367419223934,171.02736000872537
DK,ror,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DK,solar,369.8581276405154,361.46126073280516,357.29597089803406,343.128485040391,363.6095387471858,367.3821112380057,378.3152354673735,354.5937753372995,378.27137166376207,379.99726032601836,368.23521749233396,384.20261160476633,372.9114060318794,376.727683731524,360.2318058010812,347.2591577779779
EE,OCGT,122.34018932838563,143.90216404288614,136.01997627871646,165.0031838958739,156.20241132089907,177.31471534086018,105.29832891013413,140.98410839189987,153.1646419928849,118.20338363249286,141.49550327165963,124.3290477528639,142.4107372783466,156.68435710301804,119.01149194301935,166.43781280456454
EE,offwind,333.92324898594313,346.20103143301696,318.4528887681151,336.8071750974143,325.679573229779,313.00035805196995,318.8857248183102,334.1758591268346,327.60816358153113,343.67131384676986,325.5759231405693,318.7211263017092,309.1016426957392,323.6777176731525,340.8940890563444,320.7571403748911
EE,onwind,171.2830710949544,177.60935583319184,179.49606817894784,180.76248941029704,178.05221122334538,176.889970206372,181.24932693473949,187.91897506291775,184.48501393717927,191.91266201399273,180.44812793373714,181.79306470968615,178.95803224136705,183.43520074384855,196.12481780249598,185.07161726421043
EE,ror,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EE,solar,352.68971787885465,357.15709620201176,352.28536438373425,330.92519893463395,361.84715094403884,374.1287034483434,394.5909506050306,348.90304845884657,384.0102630591877,393.8937602636391,365.1190185288368,389.1157431602222,403.16382262327835,386.84465550566074,369.1775929741566,369.7159359979621
ES,OCGT,151.9228401613365,147.24795033256325,387.56470411695125,246.57691999527958,137.09524804274145,106.18008226150846,152.9304767800318,252.07510428791525,106.10116526285077,179.29258957817345,215.42854806528194,199.84961918527958,199.82420834792035,260.13233113593066,162.50249028167607,262.94549017807293
ES,offwind,297.59669626114214,331.28806726670047,299.150823723851,298.39806456214524,327.12220516317376,320.0090120586335,318.67158452383796,308.390951166123,323.2814933262122,323.1209700739365,308.674204320103,318.0238609423725,318.21325238341433,313.7976256231276,310.1977374075149,297.41613286001683
ES,onwind,191.65306260672273,189.72074999725743,190.79069153975865,186.81435132834156,191.46971708401284,186.6929487978666,197.98348267374098,194.87655704570275,190.83119100915795,186.9511405933431,200.73289674793367,196.2415091408213,193.8166224633027,195.31315327005842,199.82463623452603,199.82178434010257
ES,ror,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ES,solar,182.99776497272094,183.61564673980365,181.53316226166538,181.24112029833222,183.2862455440693,182.65626441436493,184.08408268291168,184.47400365382816,182.84710540708036,181.74746327902017,183.07360215243733,182.4407892592038,184.5145126296844,182.77607738378433,185.95646049356435,183.10917636619655
FI,OCGT,177.30679306739745,149.42817729025973,253.34022930365506,187.1987367469959,163.45350853569687,218.69475272339272,171.27129170890106,187.06993533953977,156.10474677664476,158.6319163423952,206.74485689650515,192.4002752979925,200.21879260287795,215.31349876511706,165.1761957786914,204.3149972795302
