carrier,1970-1976,1976-1982,1982-1988,1988-1994,1994-2000,2000-2006,2006-2012,2012-2018,2018-2024,2024-2030,2030-2038,2038-2044,2044-2050,2050-2056,2056-2062,2062-2070,2070-2076,2076-2082,2082-2088,2088-2094,2094-2101
OCGT,204419.95114354952,210869.61541582044,230027.431511259,178155.6026290111,220219.109667819,222161.31522183397,174551.44149499823,201599.55706170652,179106.1185950424,193597.25368327103,187175.36492371155,207473.523547532,169510.93120214075,193112.92607623796,186412.98340767945,226527.05724371906,170277.72428563476,205587.37818324103,215276.83772234,189311.3869684681,190830.83972120684
offwind,0.04321211864266499,0.04316314364988,0.29407206256104995,0.10116165946471001,0.13529544377647604,0.11052902902195998,1785.381316658516,0.11946914053564998,0.12290651834480999,0.5861919568739199,0.12760516919285003,0.031075698827557,0.42542151379969995,0.2734857089674201,0.33943428781788,0.7356430683152101,0.07776753214032399,0.13714948253751,0.06647904425652801,0.6868631127135899,3.154118924585719
onwind,695091.4172733221,709329.7320405924,699204.1703402845,690825.6126056947,720893.6700515822,692244.9022637338,724625.9035218374,694010.1404656958,698993.3723191177,702729.7497547134,680843.4288964453,683285.2432453617,665173.1467126999,678663.6035842097,682385.3472153196,687046.0088456896,685092.8069625474,683900.1188022947,680095.7789299557,697545.9265706239,665399.8317061287
ror,74054.07509444,74054.07509444,74054.07509444,74054.07509444,74054.07509444,74054.07509444,74054.07509444,74054.07509444,74054.07509444,74054.07509444,74054.07509444,74054.07509444,74054.07509444,74054.07509444,74054.07509444,74054.07509444,74054.07509444,74054.07509444,74054.07509444,74054.07509444,74054.07509444
solar,69752.29976804992,61952.096870913505,98055.92123080819,104912.42566761431,77919.77775546054,96016.02844193268,62887.98934562859,72841.26089442463,79718.84984800144,62750.18357572942,92357.97153425231,98781.25132254917,96318.84184489878,87840.4011227683,107312.13633660167,100102.83442207244,99584.79848411222,109087.17547808314,107670.5403806247,126684.38441325477,141872.48506172464
