carrier,1970-1976,1976-1982,1982-1988,1988-1994,1994-2000,2000-2006,2006-2012,2012-2018,2018-2024,2024-2030,2030-2038,2038-2044,2044-2050,2050-2056,2056-2062,2062-2070,2070-2076,2076-2082,2082-2088,2088-2094,2094-2101
OCGT,231.93965656953168,237.4155005515555,253.680694667357,209.64090090329196,245.35332398438018,247.002284777097,206.58090045498068,229.5451033422052,210.44790027344453,222.75102041417122,217.29878368148968,234.5321775450686,202.30145202694555,222.33983645206703,216.65149944249836,250.7087979234998,202.9524859207437,232.9308104414431,241.15728541517035,219.1122442331381,220.40232704427044
offwind,315.6923407808315,325.6428700307408,301.3075869559751,340.4339541487395,316.582112071035,323.1427140108932,325.3973029367535,323.93104621560155,308.354403297364,309.00041913235185,319.5435600079701,284.93297285623214,313.81461614995794,312.8463985248587,308.2468683985703,309.5603734708904,305.1761754559281,327.5624057303632,301.6098632686389,314.6344492677749,280.08863486707503
onwind,158.51995672877126,159.44709163045204,160.00542164294498,158.8840336505623,162.71546302399418,160.80837581851955,163.45475527195296,159.16141313319702,157.39015776902383,159.08952474285746,159.8398705266282,162.0202022109649,158.75127156420592,157.141696421473,159.6019889547704,161.62777082608628,162.73915219707496,161.7108666719722,162.5413699434652,163.51237283280082,161.71353493196298
ror,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
solar,187.56726655269628,187.06709036982977,186.36744315370882,188.6132387855696,186.1355398536471,188.93278545871317,186.4206784818656,188.58810058107753,187.1509159927998,189.49928971177727,191.44225380951943,189.66479703724943,189.85281802401892,189.2548040456141,189.16473284638448,192.5839862222534,191.51877639506344,192.29723024121114,189.6665314220397,193.82659666397095,191.88321999097525
