bus,carrier,1970-1976,1976-1982,1982-1988,1988-1994,1994-2000,2000-2006,2006-2012,2012-2018,2018-2024,2024-2030,2030-2038,2038-2044,2050-2056,2056-2062,2062-2070,2070-2076,2076-2082
BG,OCGT,1594607.2163556924,4315748.1760952445,8075393.254139159,4612889.741904781,4508396.905879586,4681244.241653234,8980868.03071146,8232078.450795086,879.6807329849329,2615966.426675697,946592.6585361372,6523703.631363304,2348897.142178223,8148140.850433961,9341435.094478466,,37077.126672971135
BG,offwind,83.52863051192456,44.15558278744431,233.90841855723608,31.12424132608635,10.660473992689829,1.4119748429035446,22.16960247918032,91.56885713672217,90.7280196831905,50.97674200170771,55.47000041558235,9.225548200185553,4.8509435063338895,15.220049610373477,42.20417064566692,,27.57153432464517
BG,onwind,202.1155188174975,194.2631378832213,1133.180732333844,114.14449718331457,107.37674603311196,4.605923149103976,115.19362132210232,252.25897273851706,1192.063732265656,476.14896412898156,161.15290705395105,61.21462603948756,18.451512414423053,138.40460882786846,180.69751022581045,,210.0667555558345
BG,ror,5625810.327349372,5764253.645823591,5841066.53524785,6706342.266286751,5895307.936008769,5150715.12283493,5110633.89635489,6000999.354713498,6025390.8152679,6200545.472399981,7730135.975786434,5544989.811698615,4903203.9016355015,5375847.454858629,6889305.777651552,,5020118.786901055
BG,solar,7759126.647211819,18502862.73065034,13269062.43585224,8735534.22858544,14065893.71591076,11323036.982594864,22366970.93814727,12646624.226055382,5207541.442465725,10699544.932260217,11618079.236617528,18337745.241588466,13671447.734019404,11776210.47010359,11802022.68058012,,2028933.66659489
CH,OCGT,367306.62706398533,8485723.491515383,12586399.005653732,12614398.732268933,1085.2097227503834,11292110.875239585,10494615.52163649,10999619.22616003,9456142.971895505,152044.59707857444,15432273.931657722,11862363.758888362,6314.828645072198,10421529.052963076,18366493.99067632,,13327491.486353623
CH,onwind,230214602.1899367,233646120.97725332,219397881.5734102,226041806.30689305,199858481.98253614,221971767.73563564,212270214.59079093,210902174.56494465,213258100.00756198,220298086.86948767,271731101.4622409,224435650.07396212,190127649.08578703,189236694.89504516,176278908.61321968,,212046856.3714648
CH,ror,4561074.857764369,4579977.294738481,4352801.574858171,4842280.825598575,4662609.510705764,4899127.21322895,4830693.515864778,4887575.864310833,4718506.440601695,4862500.707940443,6707259.842228093,5244465.314280208,5379583.069275734,5282400.20133714,7229576.418957853,,5771268.202196544
CH,solar,455.91703098798206,19428275.199730534,20397072.291847654,21421131.341882795,30917048.563698277,918539.4259333466,321.263934013843,65640736.482496835,11481257.689442424,1534623.7506298462,1093.775391469229,149.60722685629213,5236.157148628219,121.1090824412179,72485498.4257982,,11016435.979181439
CZ,OCGT,9980627.819951596,11381572.912640998,12890456.593771335,12647634.370591499,15471966.332732825,12464758.101880668,8449863.455642823,11285057.225873748,12572660.25633154,9298613.044976259,16511036.565098269,12618391.684013708,8294144.464696471,12003035.270561732,12569261.963376805,,13070001.145618819
CZ,onwind,393.26300447765175,351.56822384749535,1287.0877274370976,177.0331275743294,143.60202356894712,7.63122279364373,167.3866575937304,335.03683605070023,854.6858487825385,6004.961268982978,272.7905673868642,47.99017076351893,18.249711681543886,65.75906752074275,141.1784547739771,,134.8426016077563
CZ,ror,1109432.676132598,1354804.7289191291,949292.969992454,1279443.8032370312,1391795.4404458932,1309444.3165927997,1123125.3263099566,1218553.1464510057,1370394.3886503014,1279712.4782672462,1668942.940890349,1420315.3309671853,1065208.365630854,1277080.697417561,1704844.1653058748,,1288134.7427176712
