carrier,1970-1976,1976-1982,1982-1988,1988-1994,1994-2000,2000-2006,2006-2012,2012-2018,2018-2024,2024-2030,2038-2044,2044-2050,2050-2056,2056-2062,2062-2070,2070-2076,2076-2082,2082-2088,2088-2094,2094-2101
OCGT,270.02377124220897,230.66769247548217,241.27332880812864,271.89342781440604,208.21173517320062,218.28446979010025,213.94096692234774,236.43727130795725,221.78879870079632,235.4142928531125,227.96113114938927,240.33556544994838,252.8149630126049,231.86293370769206,215.48015095785308,213.50235038536724,204.7273879449585,221.7849272714116,216.29494920938822,213.36904408252406
offwind,304.64112308440355,308.34625270499146,305.0221480027519,297.62803628661425,314.6497004533439,309.03851540434346,307.38615728695964,302.5033860906165,295.1841235469678,324.508827363292,316.99665172360284,292.7022063708873,317.218978901071,300.8529077322303,320.3366319692122,306.47557915796364,312.8705842737239,311.40038420588695,317.6206193936383,307.82307966944444
onwind,151.19691878629467,148.6662220973481,146.08583799636295,147.1580433239163,149.86339780411157,150.99960791733068,147.78153613443482,144.40181826529033,151.90481597906765,146.53493610278665,151.6911253375385,151.54006951069388,147.09072511404617,152.28154127896573,156.70038870023984,155.94152381074696,155.36076937621107,153.5214816975608,161.50295684190777,155.21998468472964
ror,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
solar,191.37110714682927,192.38150353068488,190.18475958168264,190.81623393577325,188.21978782016177,192.2826451532993,193.24303631328772,190.51918588635561,189.61350849913805,192.71994020307602,191.6690140097715,190.39998519062482,190.74389235210882,192.91567239741482,194.25467147774523,192.55914959779784,192.77837089960607,193.5845453034317,196.23752462177265,193.38818568818903
