,1970-1976,1976-1982,1982-1988,1988-1994,1994-2000,2000-2006,2006-2012,2012-2018,2018-2024,2024-2030,2030-2038,2038-2044,2044-2050,2050-2056,2056-2062,2062-2070,2070-2076,2076-2082,2082-2088,2088-2094,2094-2101
offwind,0.391577311727135,0.39943138394239047,0.400540122594584,0.386041778732743,0.39898649985625273,0.3996131599238748,0.40004919920717835,0.4062184046676388,0.4078151430761182,0.40946776896302944,0.4040161123368156,0.4085980737412329,0.40627867324407024,0.4057475050754562,0.41035817198587365,0.4055890812594808,0.4027770166112235,0.39692019062444545,0.4038048705363719,0.40057925166969255,0.3980224319904096
onwind,0.2713305993517984,0.2771324042258971,0.2778683195532613,0.2659439855642848,0.27448069629465066,0.27157186921049326,0.27233067668478383,0.28056034490914716,0.27710310301072694,0.2776474466415207,0.2752025306064605,0.2794270800628808,0.27924027987427374,0.2747415032974462,0.2783611785589961,0.2748307337467255,0.2706373065306546,0.2656055075728959,0.2731864878640705,0.2737098672571677,0.26897664869475435
ror,0.4536732721246121,0.45968248072669804,0.44051071053045965,0.43896014547123574,0.43994832626932834,0.4569960970067332,0.44874723637613256,0.4553150147154727,0.433709388035585,0.45710929895157043,0.46418609054031273,0.47193340153898583,0.4805473656096297,0.4622822136141804,0.4840115189409977,0.4725786227858746,0.4756422996186213,0.4640524651476752,0.4866544710992164,0.4572127936894403,0.4944034001254909
solar,0.11991845353573867,0.12002387716797806,0.12125364439074887,0.12083980113175369,0.12131746172867776,0.12024342793141733,0.12021239663719299,0.11930966266431113,0.12033809370279692,0.11830598207035135,0.11819380281100532,0.11716083384424339,0.11659799229627772,0.11636762791134828,0.11484263129882426,0.11542970431988848,0.11494917328396691,0.11448695994787506,0.11292971990113117,0.1147341849145203,0.11234726426072146
