,1970-1976,1976-1982,1982-1988,1988-1994,1994-2000,2000-2006,2006-2012,2012-2018,2018-2024,2024-2030,2030-2038,2038-2044,2050-2056,2056-2062,2062-2070,2070-2076,2076-2082
H2,11882.126207720634,12069.419093991959,14018.161745467367,14745.629383774713,13359.871453110794,10069.413642600442,13710.491662938291,15322.066335224004,15701.73568921461,11781.348066870069,13739.107250265344,11819.772649575885,10676.934537869636,14360.702915717031,17679.885531990923,10002.221401878307,16166.257801020089
PHS,47460.0,47460.0,47460.0,47460.0,47460.0,47460.0,47460.0,47460.0,47460.0,47460.0,47460.0,47460.0,47460.0,47460.0,47460.0,47460.0,47460.0
battery,1.3136116920996002,1.0551580002997,2.808410698481399,0.9548698358132001,0.26109746967305,0.035854588054766,0.48502525696419985,1.0894907849845,1.6249897336294998,0.9162722130775001,1.2838705713273,0.26595676922519,0.10511371418505,0.49554450428545,0.5670217461269998,1.1458394009867001,0.9659806859217003
hydro,122755.92490548299,122755.92490548299,122755.92490548299,122755.92490548299,122755.92490548299,122755.92490548299,122755.92490548299,122755.92490548299,122755.92490548299,122755.92490548299,122755.92490548299,122755.92490548299,122755.92490548299,122755.92490548299,122755.92490548299,122755.92490548299,122755.92490548299
