,"('1970-1976', 'ave')","('1970-1976', 'max')","('1970-1976', 'min')","('1976-1982', 'ave')","('1976-1982', 'max')","('1976-1982', 'min')","('1982-1988', 'ave')","('1982-1988', 'max')","('1982-1988', 'min')","('1988-1994', 'ave')","('1988-1994', 'max')","('1988-1994', 'min')","('1994-2000', 'ave')","('1994-2000', 'max')","('1994-2000', 'min')","('2000-2006', 'ave')","('2000-2006', 'max')","('2000-2006', 'min')","('2006-2012', 'ave')","('2006-2012', 'max')","('2006-2012', 'min')","('2012-2018', 'ave')","('2012-2018', 'max')","('2012-2018', 'min')","('2018-2024', 'ave')","('2018-2024', 'max')","('2018-2024', 'min')","('2024-2030', 'ave')","('2024-2030', 'max')","('2024-2030', 'min')","('2030-2038', 'ave')","('2030-2038', 'max')","('2030-2038', 'min')","('2038-2044', 'ave')","('2038-2044', 'max')","('2038-2044', 'min')","('2044-2050', 'ave')","('2044-2050', 'max')","('2044-2050', 'min')","('2050-2056', 'ave')","('2050-2056', 'max')","('2050-2056', 'min')","('2056-2062', 'ave')","('2056-2062', 'max')","('2056-2062', 'min')","('2062-2070', 'ave')","('2062-2070', 'max')","('2062-2070', 'min')","('2070-2076', 'ave')","('2070-2076', 'max')","('2070-2076', 'min')","('2076-2082', 'ave')","('2076-2082', 'max')","('2076-2082', 'min')","('2082-2088', 'ave')","('2082-2088', 'max')","('2082-2088', 'min')","('2088-2094', 'ave')","('2088-2094', 'max')","('2088-2094', 'min')","('2094-2101', 'ave')","('2094-2101', 'max')","('2094-2101', 'min')"
BE ror,0.07628843431925253,0.602399834133,0.000160241901383,0.09080526809323927,0.644610548121,0.000124312150046,0.08403350725122812,0.60262147928,0.000175457292535,0.0809377592058741,0.817658866654,8.98307219955e-05,0.07975271084874325,0.660915083045,0.000128279933519,0.07594632738672215,0.545640915929,0.000183435480676,0.0773701140682163,0.709554544014,0.000133985449296,0.08948945470260461,0.782955921316,0.000128443822943,0.08635003804875971,0.561279313392,0.000151095002688,0.08111153188212405,0.586658764038,0.000100128884923,0.08751794959120408,0.740264049503,0.000130588933117,0.0928813381986931,0.662244923756,0.000154552517851,0.11208673312722046,0.79043322458,0.000191022004606,0.0769696509046449,0.441887303002,0.000156729131562,0.0978510321256345,0.670803008076,0.000157006470932,0.09057929271221435,0.779819420397,0.000153649455227,0.08527043479995416,0.957048670996,0.000115101726945,0.0843014475154338,0.932552785335,0.000133297596467,0.0906096270326687,0.700185901978,0.00013293038639,0.09163606336799672,0.616158093311,0.0,0.10307844831485367,0.755163068639,0.000152429638539
BG onwind,0.20967318189717943,0.977317765832,0.00594448083514,0.22526206300339488,0.980872744403,0.00698649272623,0.22821048292143278,0.972594651017,0.0101485635148,0.22026192820307172,0.984918506999,0.00733519775508,0.22452839750616452,0.983540365695,0.00604354830962,0.22331610625437534,0.979542483026,0.00636742448061,0.23011936639464822,0.973449051911,0.00729656209147,0.23343394743439194,0.987064865728,0.00742339513784,0.22713375577047878,0.987987783691,0.00734332342536,0.21913798097130696,0.968880465868,0.00735123180734,0.22755104016485217,0.980480044176,0.00453425267608,0.21234426336146034,0.979876913971,0.00872205092242,0.22527620618131916,0.988650189392,0.00808432286556,0.22402548201759356,0.985712802142,0.00620797939746,0.2146505130564302,0.980545027749,0.00854347299949,0.22000186533831856,0.975890097224,0.00741894443154,0.226851443986401,0.971043882795,0.00701403362207,0.21815958917265263,0.979982788006,0.00779261800886,0.2212935343222537,0.990282222939,0.00547865208055,0.21810578458192376,0.976745380218,0.00885296149157,0.2044219455673025,0.980891138155,0.00846785650304
BG offwind,0.31661786956709664,0.998837926143,0.00331450356484,0.3201594789289364,0.999414930993,0.00301638213513,0.3338160734276119,0.999450781657,0.00295727331338,0.33503680193063096,0.999527576022,0.00397926573629,0.3357747756121007,0.998934017231,0.00345008413355,0.3303104550954547,0.999662140785,0.00319506993361,0.3528243274565405,0.998984081809,0.00409180650034,0.3549164514642098,0.999319661449,0.00426984973482,0.3480063825779251,0.999289866098,0.0035140890563,0.34248780624917935,0.99934153943,0.00243678107787,0.34745198557104395,0.999519882475,0.00410027777208,0.33178668056666594,0.999422561304,0.00416935115206,0.3489822409037117,0.999308521817,0.0039514172053,0.3449677556608273,0.999030664511,0.0033583895896,0.32319475738864945,0.99896867381,0.00417105948756,0.34316507973832633,0.999364101211,0.00376366948712,0.34292695384244865,0.999405166074,0.00481519604578,0.34206772411773556,0.999485949849,0.00343878949863,0.3436955651655583,0.998741953022,0.00404696214411,0.33807173670861956,0.999058359624,0.00426662747,0.3187824748248842,0.999276231243,0.00395960739292
BG solar,0.14579454289634136,0.724804669731,0.0,0.14433347145669273,0.766053083678,0.0,0.14558676992670094,0.800628444232,0.0,0.1455003903306463,0.775421920415,0.0,0.1458050220980991,0.720059456384,0.0,0.14301560563068466,0.733370805231,0.0,0.14249402964919833,0.720446584427,0.0,0.14346345276677427,0.716919201314,0.0,0.14500460456853323,0.74768068957,0.0,0.1429080604411419,0.778959113997,0.0,0.14431810578846288,0.716531147852,0.0,0.1431786641342954,0.721231057641,0.0,0.14338700148373792,0.713098483397,0.0,0.14195630742822885,0.705994341256,0.0,0.14361435139135478,0.702516771472,0.0,0.1415895339906847,0.707419020158,0.0,0.142956211562857,0.713203180465,0.0,0.1405077930410764,0.724860234889,0.0,0.1408263840621768,0.698636297816,0.0,0.14056928294981771,0.723567020986,0.0,0.14049310970089773,0.710602169395,0.0
BG ror,0.28006700227233267,1.0,7.37625812742e-05,0.32805404631054635,1.0,0.000170084955381,0.28304195712918045,1.0,0.000168980287892,0.28891229835574506,1.0,0.000165583643079,0.2890759789466937,1.0,0.000204654067766,0.35081613496057124,1.0,0.000162575358109,0.3414853202312984,1.0,0.00020211931679,0.32771637068179166,1.0,0.000165100804333,0.26441936378106184,1.0,0.000151761527644,0.30183448109563427,1.0,0.000190388010655,0.28218322375230637,1.0,0.000246459446565,0.2903839455760627,1.0,0.000148259693065,0.29591833126255135,1.0,0.000233227052791,0.3097253822847891,1.0,0.000179564000841,0.2685655604889872,1.0,0.00010093271908,0.2828843520829983,1.0,8.07332978029e-05,0.27468276096584004,1.0,0.000203778701791,0.2923011801071544,1.0,0.000221717652472,0.2693283462011334,1.0,0.0001819178763,0.27864200366136865,1.0,0.000168489091965,0.2771555174960244,1.0,0.000175177160228
CH onwind,0.36238141610414154,0.965717900968,0.00757868395483,0.3542260205700696,0.972868073215,0.00597087883621,0.35393046902646275,0.974405747935,0.00619894172401,0.33982880024239565,0.974357971882,0.00593118804426,0.3518377401829623,0.962348716254,0.00746987075047,0.33923701299582565,0.963932115827,0.00619914720489,0.34482346156704274,0.95641507882,0.0074834071475,0.3575979072883521,0.965675330931,0.00680910477993,0.3460217967887247,0.962431964383,0.00551452413952,0.3497782842134097,0.975982011645,0.00696047190167,0.35299885801221925,0.978662510598,0.00782118091506,0.35571148319662843,0.958868556699,0.00768418620886,0.3665943240113759,0.962339040814,0.00681715482924,0.33884354102178466,0.966699434095,0.00710356815088,0.3506133150175356,0.968227484951,0.008022086117,0.3468083674667301,0.968463675146,0.00522344499245,0.3257851696021146,0.961586103702,0.00588978932419,0.32253541694327975,0.970473717332,0.005840679818,0.33974163633920285,0.961515746552,0.00562338371182,0.339899787614388,0.970556683552,0.0045985553714,0.3421204988638709,0.964373792367,0.00538995901067
CH solar,0.14189115368818905,0.786934158109,0.0,0.1421417417744666,0.824492693191,0.0,0.14458333823471545,0.778954838609,0.0,0.14268570435779918,0.800909082786,0.0,0.14428009226127766,0.793105853598,0.0,0.14203016830091,0.796273557737,0.0,0.14404596680656662,0.793108226032,0.0,0.14118471166390864,0.799238757952,0.0,0.14237986788559429,0.800316239292,0.0,0.14007638361698443,0.794636622264,0.0,0.13901958895800554,0.781415224839,0.0,0.13694885613958563,0.784594004158,0.0,0.1355222849389531,0.807489300835,0.0,0.1382353676540907,0.785497564273,0.0,0.13595767839327155,0.780075486003,0.0,0.1345889862282922,0.755035266879,0.0,0.13481291867222753,0.769972381548,0.0,0.13322006391422547,0.772292436419,0.0,0.13114081062034252,0.758876155121,0.0,0.13157899966380218,0.771477490429,0.0,0.1304171392787016,0.753330772082,0.0
CH ror,0.5625955703394985,1.0,0.00055587178086,0.5339131307899052,1.0,0.000670082539511,0.5368990782571453,1.0,0.000351309684714,0.5365934368826584,1.0,0.000469514738251,0.5280208698962737,1.0,0.000748092468963,0.5479394550280874,1.0,0.000608374665812,0.5090565044357309,1.0,0.000429874451355,0.5656691542815799,1.0,0.000692353382251,0.5266356036134692,1.0,0.000708634875817,0.5438510090481801,1.0,0.000491536014221,0.5882303014666519,1.0,0.000758298945135,0.6260989310618038,1.0,0.000584507789584,0.6267715641188931,1.0,0.000737691887698,0.5802440854535406,1.0,0.00033777262733,0.6045629550924367,1.0,0.0012918608965,0.638535153152456,1.0,0.00049684265544,0.6249011445793504,1.0,0.000448695335282,0.6351957169712866,1.0,0.000958948586712,0.676053274806171,1.0,0.000781444046403,0.6593717218134281,1.0,0.00082750405283,0.6753495415106028,1.0,0.00122631691563
CZ onwind,0.23859901405094974,0.984397375457,0.00523261896609,0.2513965912258113,0.992092885624,0.00483286736097,0.25194929932743226,0.985318847064,0.00628079946293,0.2304159241479368,0.992747327316,0.00368373685044,0.24949470806398416,0.98741951047,0.00523782554602,0.23962950525867868,0.986926306053,0.00520278726369,0.2456941322958196,0.993388563662,0.00517921471511,0.2536496879388189,0.991312098275,0.00625656125351,0.24134591070197395,0.992944388275,0.0054701941744,0.24671978113457235,0.985643792057,0.00519937282628,0.2529822150723587,0.990982959576,0.00395692024161,0.2587624204910853,0.990861950515,0.0052959315481,0.25828028001716624,0.991710171341,0.00597515671894,0.24797750638671187,0.993884116004,0.00435778651781,0.25230373799473554,0.994728051039,0.00460889158429,0.2480197258887598,0.9956007994,0.00488290726434,0.24196698863243585,0.989833929887,0.0053351102663,0.24353681570824628,0.993644450785,0.00442933220397,0.2547344594520747,0.99409566657,0.00478824466609,0.25349492118824324,0.989456663325,0.0060155553094,0.2430822356041673,0.992324317024,0.00479528130948
CZ solar,0.12305077968267521,0.784477210843,0.0,0.12125730100986273,0.827239108929,0.0,0.12314836764331084,0.767138787753,0.0,0.12507870875617405,0.796815437374,0.0,0.12278645629174736,0.781784687167,0.0,0.12090160994460786,0.776548977134,0.0,0.1222059023034278,0.779665718642,0.0,0.12145548529115217,0.779904580859,0.0,0.12275582508241624,0.83902260956,0.0,0.1183431257136926,0.777316115299,0.0,0.11829666148402562,0.753830094811,0.0,0.11902399166303894,0.749171098761,0.0,0.1155737080406944,0.773334311758,0.0,0.11571950852502845,0.710813486753,0.0,0.11464743210473168,0.715202579743,0.0,0.11615152622114355,0.696324464596,0.0,0.11347412127663739,0.705652132417,0.0,0.11459610741579615,0.695416423518,0.0,0.11167820991221314,0.691327040932,0.0,0.11524238263574034,0.695674485999,0.0,0.11078792938296446,0.716266342923,0.0
