,1970-1976,1976-1982,1982-1988,1988-1994,1994-2000,2000-2006,2006-2012,2012-2018,2018-2024,2024-2030,2030-2038,2038-2044,2044-2050,2050-2056,2056-2062,2062-2070,2070-2076,2076-2082,2082-2088,2088-2094,2094-2101
H2,12191.168534644215,15869.388004288152,18473.89873689016,18101.348608258897,16843.50668322129,17291.590215108117,13830.166111459614,13053.280122552664,7654.376189455137,16057.956484159355,14347.584910527523,11276.289810253935,13229.60485443014,13128.95750393568,16690.887460856487,14163.466372235765,9939.456418925483,11274.08259512999,13125.504194044262,20550.855440869404,15994.029206306697
PHS,47460.0,47460.0,47460.0,47460.0,47460.0,47460.0,47460.0,47460.0,47460.0,47460.0,47460.0,47460.0,47460.0,47460.0,47460.0,47460.0,47460.0,47460.0,47460.0,47460.0,47460.0
battery,0.27131890320787,0.15289522794426003,1.6810773341604996,0.41829225210394005,0.9153839148495003,0.6361775832643,2.0699679739895,0.37423383350849004,0.5344189985601,2.5109810151374,0.6812430674307001,0.13031109099961,1.8340393841443996,1.3662362917638,1.4517050905006,3.2497100324442996,0.32349652787051,0.9458004326005,0.16867937088590998,4.067647202488001,1.0742845171511
hydro,122755.92490548299,122755.92490548299,122755.92490548299,122755.92490548299,122755.92490548299,122755.92490548299,122755.92490548299,122755.92490548299,122755.92490548299,122755.92490548299,122755.92490548299,122755.92490548299,122755.92490548299,122755.92490548299,122755.92490548299,122755.92490548299,122755.92490548299,122755.92490548299,122755.92490548299,122755.92490548299,122755.92490548299
