bus,carrier,1970-1976,1976-1982,1982-1988,1988-1994,1994-2000,2000-2006,2006-2012,2012-2018,2018-2024,2024-2030,2030-2038,2038-2044,2050-2056,2056-2062,2062-2070,2070-2076,2076-2082
CH,solar,0.226484711,7676.05113674,7980.65264708,8393.59345213,12196.4924103,367.651617718,0.166695393226,26239.9357321,4648.60105368,634.736053764,0.42007159959,0.0776235746922,2.61257001594,0.0639581437386,22454.2063595,7631.26570644,4644.53866552
CZ,OCGT,2898.32625043,3758.67854906,8303.30935701,8011.39871229,7006.59621392,7105.10438648,2550.93181992,5347.69868617,5508.54964812,2997.93735758,6384.68557094,6334.83141468,2568.61819968,6775.23071375,3269.11271746,4470.40951865,6738.27300604
CZ,onwind,0.111676169757,0.105746431613,0.382175586505,0.0501667543221,0.0416977870949,0.00229534502999,0.0508770911484,0.103998028422,0.257882070141,1.76656959936,0.0630479818335,0.0139555680689,0.00575623475235,0.0198148599503,0.0338364786933,0.0667872691252,0.0397745144073
CZ,ror,221.0,221.0,221.0,221.0,221.0,221.0,221.0,221.0,221.0,221.0,221.0,221.0,221.0,221.0,221.0,221.0,221.0
CZ,solar,0.0657734183983,0.0482669454258,0.266539033974,0.0295572426068,0.00834767781202,0.00141916549464,0.023660471833,0.079777659057,0.081667347062,0.0560279137917,0.0413307963475,0.00874108380351,0.0060314672687,0.0129989261766,0.0364378425072,0.0747029203338,0.0387684030199
DE,OCGT,6991.49646194,16180.8883101,10072.1826774,9816.72837414,12158.1459829,7445.31213818,13806.9708552,6870.4940578,10307.7977672,10184.3468427,6773.78923335,8190.6045523,9171.42339655,7041.86922512,20750.1572113,9782.93649875,6866.81156175
DE,offwind,0.0309965162076,0.0237653580852,0.113311820383,0.0192087560623,0.00458533184736,0.000886212687659,0.0625582076549,0.0352520489047,0.0577477981878,0.0412688382876,0.0228561061532,0.00779976175535,0.00301987877828,0.00658175704723,0.0196716742515,0.0294810736858,0.0200444621481
DE,onwind,0.0862510828326,0.12821294479,0.367528005278,0.0496587119512,0.0141848842224,0.00306712730409,0.248251331924,0.0919107073487,0.20009321037,5995.47021394,0.0586689001203,0.025516080083,0.00369404956848,0.0170550908516,0.0331737084075,0.0638846485366,0.037499186464
DE,ror,9992.86767571,9992.86767571,9992.86767571,9992.86767571,9992.86767571,9992.86767571,9992.86767571,9992.86767571,9992.86767571,9992.86767571,9992.86767571,9992.86767571,9992.86767571,9992.86767571,9992.86767571,9992.86767571,9992.86767571
DE,solar,0.0305281943764,0.0277026549465,0.0770778852804,0.0136207274701,0.00521147324659,0.000706506395877,0.0105599756427,0.0366938612475,0.0422790517468,0.020925183611,0.0204634318945,0.00390281244565,0.00222879892073,0.00582567994826,0.0150623272984,0.0377233070193,0.0164414722022
DK,OCGT,6324.95247105,359.712023494,9724.08216893,4831.77160006,585.659708727,7051.82674238,4788.0318132,5103.42920349,3993.95039398,9307.89584402,5963.3441175,7517.46424275,5573.03919111,6453.65637557,3025.00213765,3921.51905522,5701.65173218
DK,offwind,0.0129616507468,0.00925217565364,0.0223930863653,0.00608101649383,0.00236508498031,0.000267244986959,0.00526628503658,0.0140124827158,0.0168130647157,0.00912513825,0.00791119915048,0.00172699379439,0.000703470328092,0.00278195736518,0.00591002323453,0.0125647589151,0.00595300676832
DK,onwind,12664.8272549,11385.0452911,21252.7474174,3334.05543135,3913.47978557,21365.7348827,10359.6456733,2052.45270406,6983.54018952,30400.395666,2189.09739298,29786.694243,5733.5061699,2925.59062886,2719.20216333,4282.95287105,1578.40336837
DK,ror,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
DK,solar,0.0237421964953,0.0193552668959,0.0630001738152,0.0107021775129,0.00331426150595,0.000496493154229,0.0096728591628,0.0263640832441,0.0300684313689,0.0195470091465,0.0152759099139,0.00324573732168,0.00199405916997,0.00482892069856,0.0136236858993,0.0253570054593,0.0114273595796
EE,OCGT,559.253347651,1374.14686753,1015.43402339,1559.48962236,997.22705167,1562.13110593,0.0349557232844,1282.06828076,1276.67019396,586.832445403,1119.1222936,657.479397208,1076.9847975,1164.55194008,685.157801534,1514.31426587,1605.24429091
EE,offwind,0.0163448297128,0.010574848988,0.0356219182275,0.00665637765175,0.00220002560731,0.000417044804932,0.00646677336378,0.015732333416,0.0208061071563,0.0125900527905,0.0105990760892,0.00261735600818,0.00156017774984,0.00401066777542,0.00786239885301,0.0155951441362,0.00778432681401
EE,onwind,2164.06097881,1930.34083975,2388.08089626,1832.56395686,2611.2837648,1872.00422694,4045.97462853,1892.54366479,2101.64605548,1891.11544513,1934.7293983,2438.22587227,2196.3042637,3285.24865875,1922.52268821,2727.12350291,2737.73670467
EE,ror,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
EE,solar,0.0244412951851,0.020144764588,0.0633392831631,0.0121043461965,0.00302884421076,0.00043236729359,0.00796720125177,0.0269323436296,0.0274187613588,0.0176775294891,0.0153627846129,0.00299038864882,0.00184590845069,0.00427066892566,0.01312142449,0.0247174862183,0.00865869181213
ES,OCGT,4469.50540627,3515.85715242,21763.7993417,12471.5629679,1412.5422948,0.029925926098,3871.52305644,13685.3719015,0.0842116202373,6501.85228228,9547.47725775,8118.92164524,9763.97037328,17069.9004256,4678.15163537,0.0297423289243,14557.1787476
ES,offwind,0.00975152277343,0.00572195902786,0.0186235128534,0.00807822612084,0.00175268761886,0.000214106921077,0.00462606643887,0.0110333334196,0.0140813245576,0.0045575880129,0.00993445461415,0.00166573912338,0.000683914117506,0.00304755662027,0.00557207923894,0.00947857983722,0.00782663383316
ES,onwind,48815.8966592,53366.7604378,54378.2082551,53601.1349891,54249.8047336,65873.0281945,53916.5983813,46978.4742337,55299.1672606,54090.7539723,51038.9110704,49819.7089138,57307.1807749,43796.1889307,56716.3754889,63425.7882591,59485.7592934
ES,ror,1044.35190926,1044.35190926,1044.35190926,1044.35190926,1044.35190926,1044.35190926,1044.35190926,1044.35190926,1044.35190926,1044.35190926,1044.35190926,1044.35190926,1044.35190926,1044.35190926,1044.35190926,1044.35190926,1044.35190926
ES,solar,19649.0558697,22386.3425037,28267.7483882,28462.0833718,24522.1626498,12105.5031319,22930.3610208,35868.7252104,21148.7663094,29423.0543914,31350.973844,34036.6049611,27163.6992878,42811.090492,41798.0711543,36763.6642932,42671.1131109
FI,OCGT,5716.23686476,4354.86029084,9578.81850682,5359.61498181,4596.55254563,6817.11238427,6572.55736546,5560.42842088,4143.76878414,5578.11057392,6519.40635782,6264.4677585,6557.29393631,6691.26225059,4410.67493405,4912.22291454,6023.41466519
FI,offwind,0.012808365409,0.00894974538925,0.0280662284022,0.00480140992642,0.00201947553111,0.000273737453254,0.0052182269274,0.0085841142222,0.0169172860226,0.00961206617225,0.00857094734452,0.00191060996672,0.000860276825861,0.0028769364404,0.00436343968824,0.0124890139995,0.00587926402505
FI,onwind,4565.38636107,9497.86782111,4174.73167803,8999.80020962,16528.8757529,21111.574203,13630.4890073,4506.88448446,6314.48793814,9824.18810924,3342.17217325,16188.9495962,16120.2204388,14451.3958556,3991.61445075,12061.1480759,18931.6547433
FI,ror,2560.0,2560.0,2560.0,2560.0,2560.0,2560.0,2560.0,2560.0,2560.0,2560.0,2560.0,2560.0,2560.0,2560.0,2560.0,2560.0,2560.0
FI,solar,0.0212613392629,0.0164663852076,0.0547746142601,0.00878481568024,0.00281663109593,0.000378425577433,0.00787789708266,0.0218400673938,0.02496390655,0.0163212418799,0.0121014200572,0.00264232547673,0.00167711216017,0.00380520217549,0.00932577477888,0.018961296597,0.00734069711373
FR,OCGT,58534.8594875,37354.2728066,25542.8154571,30054.5719365,44799.9159074,38926.1211998,30362.1004538,33559.1149269,42790.9810052,59239.7798848,41368.6000977,27890.4680571,37837.4535387,28107.8030231,42600.8567241,40734.4383456,34289.9751369
FR,offwind,0.011437541324,0.00644520822063,0.021253895545,0.0102652329637,0.00220584234936,0.00026243583391,0.00652164370694,0.0115423135631,0.0265519154035,0.0056343214687,0.00948478244154,0.0021304466879,0.000923424023748,0.00320808702604,0.00741918269056,0.0127821941703,0.00774368969981
FR,onwind,16013.4051945,2150.96674068,10456.2347686,16881.9353528,32285.5881893,30693.3903286,10267.1429865,12435.5739566,20393.5196063,30955.4938247,5256.40610351,20555.5006472,38600.5686829,62355.8562905,48727.9273309,24938.5426256,33014.7547169
FR,ror,14122.7428768,14122.7428768,14122.7428768,14122.7428768,14122.7428768,14122.7428768,14122.7428768,14122.7428768,14122.7428768,14122.7428768,14122.7428768,14122.7428768,14122.7428768,14122.7428768,14122.7428768,14122.7428768,14122.7428768
FR,solar,0.0329988564909,0.0278406709535,0.103436579477,0.0188566097013,0.00762231951671,0.00106068029488,0.0160538322576,0.0602774179907,0.0559624451108,0.0356497568752,0.0252603748959,0.00488529267029,0.00483110578388,0.0124972438245,0.0466593463086,0.0895782876552,0.0356517944565
GB,OCGT,25924.1300857,31993.5955341,25643.8901829,28358.2990201,34143.8606308,35367.2267369,28827.751719,32228.6104955,39738.9507562,10691.4291934,39210.1288872,27786.3644714,34276.6060075,27469.2959837,32274.1230228,32173.1527962,22408.2921261
GB,offwind,0.0104021298215,0.00548340385109,0.0257013646196,0.0101732843174,0.00210214144744,0.000195019482956,0.00741571312017,0.0445683898113,0.0232131077269,0.00816780697472,0.0168292326893,0.00217104495954,0.00137486917029,0.00477090260241,0.00878075461999,0.0170156552203,0.0124827257971
GB,onwind,149528.969523,157331.421092,158623.780448,150677.034094,146941.121546,147648.499376,185483.20059,161584.970708,171193.674424,153816.441423,170760.790804,166917.660061,140706.175746,125005.79554,115000.325477,155138.807655,121523.607766
GB,ror,886.0,886.0,886.0,886.0,886.0,886.0,886.0,886.0,886.0,886.0,886.0,886.0,886.0,886.0,886.0,886.0,886.0
GB,solar,0.0211871579549,0.0162134843382,0.0489524174614,0.00748672843959,0.00337507032068,0.000427592631732,0.00673201438365,0.0213222571262,0.025519286752,0.0144398248418,0.0143271836643,0.00251972154356,0.00148797634153,0.00408788028769,0.00973215787648,0.0221104269172,0.00956711931486
GR,OCGT,33.6522924116,4.8879808466,4619.96254745,1704.00125668,1.4669669098,0.369901230454,3549.86812632,4253.05088702,0.145369051635,5.47470153812,125.813957325,2117.55170393,457.087393361,4903.3027688,2626.43336431,0.517947890443,5.77128509587
GR,offwind,0.00521710264969,0.00323664116785,0.00885392514733,0.00315228455747,0.000927863027028,0.000124824905548,0.00182742454634,0.00686821243566,0.0105238917585,0.00290776104491,0.00453696752507,0.000797813629095,0.000314005493876,0.00176750056758,0.00237299352933,0.0047343583553,0.00317638318629
GR,onwind,25997.3284414,13857.0366116,23492.5222188,24043.1999625,23255.327405,27082.7214046,21085.6689214,21655.111047,33309.2876961,25306.471691,27760.9844063,20045.5273927,25549.7205343,24377.1068649,31235.3911067,42890.02729,42978.7241303
GR,ror,648.0,648.0,648.0,648.0,648.0,648.0,648.0,648.0,648.0,648.0,648.0,648.0,648.0,648.0,648.0,648.0,648.0
GR,solar,0.36456947228,2685.27600551,2.94989860531,0.381830740207,1016.75581421,0.0220672568838,131.1390594,4195.60237685,0.660220515343,520.154290901,0.744051245959,2969.00483171,3117.44057161,2097.25448984,1851.18284444,0.19900444748,0.152597438413
HR,OCGT,916.387298147,512.69350714,2651.45388751,1414.44732693,1651.90461765,2484.42344774,659.869457779,1873.38012563,803.052874544,1138.98614193,1734.8111366,1212.09648727,1472.50428034,1987.47737722,1547.58704877,1198.72703616,412.407170181
HR,offwind,0.0101281667776,0.00782311660318,0.0191740934913,0.00326285485548,0.0011310864129,0.000178986978249,0.00318681698279,0.0079881050873,0.00950144847011,0.00612910266866,0.00511275227149,0.00104511266684,0.000680384408645,0.00139606251902,0.00389064100451,0.00580152622842,0.00298220256469
HR,onwind,0.0709629088897,0.0662275295425,0.21771483487,0.0304804893514,0.00960912738265,0.00120097549373,0.0238079182242,0.0619092579333,0.0672961346609,0.0468363530769,0.0560744231048,0.00803694203413,0.00433804174927,0.0136149496748,0.0454589362346,0.0837897329763,0.0237831621659
HR,ror,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0
HR,solar,0.256871795981,0.0917646455007,1.11631511929,0.0912285998325,0.0404377443948,0.00676149017948,0.0894120045136,0.295017744328,0.501768819461,0.232125938871,0.188946311233,0.123165587228,0.0393697793086,0.0869943439765,31.0011799872,1070.66947982,0.321692316634
HU,OCGT,694.339008987,3708.48271327,7515.37950179,8426.36703188,6122.31744229,7176.27449596,2481.69992564,5226.80520111,5665.03039923,3015.71067497,6350.8513499,6422.14383888,2648.79313269,6491.38116144,3339.60883902,4594.02678765,7074.4113647
