carrier,1970-1976,1976-1982,1982-1988,1988-1994,1994-2000,2000-2006,2006-2012,2012-2018,2018-2024,2024-2030,2030-2038,2038-2044,2050-2056,2056-2062,2062-2070,2070-2076,2076-2082
OCGT,333960794.2577132,334113219.17636025,333960837.1463751,334113214.9451645,333960763.80923307,334113183.75508803,333960774.5857674,334113223.66503954,333960820.0998468,334113197.0190178,445382672.942701,333960764.3190726,333960761.2237499,334113194.2957139,445382658.68863916,,334113227.5000113
offwind,2013.7242189442563,1100.9217645226545,5416.133404625079,1039.931311055952,304.8769535179509,44.97009874891403,1891.9574629109254,2542.5878950876418,2845.672867264587,1493.4010362346562,2013.2595500590348,335.61044964063024,158.42192467849242,599.0815498276608,1240.5079852960962,,1439.3670937937773
onwind,3718958765.603961,3624297992.445858,3694682276.035802,3596587255.3952303,3626585176.2204437,3597434740.0010724,3642330326.2822104,3494884925.4041476,3587288944.533293,3609694472.1515994,4744931388.086428,3522992188.666187,3489228143.447408,3524344306.3438973,4584642630.813606,,3467816374.3898115
ror,668266542.3749417,705536471.7536485,648895251.5059016,707731470.8703704,696258665.2935661,714449635.3223964,679839181.7879083,699074192.5788548,708998054.9427869,682297869.9016887,933477724.3940217,713185969.4670961,712888990.7730881,696300852.186834,930180074.4748356,,711162698.3196661
solar,81844275.77500758,113192206.50839144,172977021.72693425,132718331.2673173,148724033.5405552,122707650.84455319,142076806.7623937,261483853.519682,151000793.4953363,185244443.06066602,242748759.5725398,215775946.4713052,212769372.93834883,267769150.60143548,407838812.737152,,276298521.26614636
