bus,carrier,1970-1976,1976-1982,1982-1988,1988-1994,1994-2000,2000-2006,2006-2012,2012-2018,2018-2024,2024-2030,2030-2038,2038-2044,2050-2056,2056-2062,2062-2070,2070-2076,2076-2082
DK,offwind,0.5224095270890577,0.5105297138990533,0.5139606051764217,0.4933406875861033,,0.518287188146672,0.5174184566111231,0.48536301336118626,0.4934044570548071,0.4970768775469292,0.5001835264324673,0.5197893016042855,0.5068127968448588,0.5031314964256609,0.4739360127872933,0.5016286737535517,0.47496648372376804
DK,onwind,0.3765765784133566,0.3681975056923418,0.3680426677406996,0.3537281472810283,,0.3683116079671074,0.36611772456864417,0.33444576327031883,0.3433053250318938,0.35475249329431985,0.35526343313544345,0.37250747155525515,0.36314241079162835,0.3619378617775847,0.32145365274662124,0.35857681755314214,0.33342772390859093
DK,ror,0.49168455261619903,0.5481701043334897,0.4519023861617695,0.4989433846624344,,0.5062562546563879,0.5318063193688526,0.42233761085249694,0.5164897330198202,0.4995931202605719,0.49930024905335724,0.5998141835837367,0.535504976624722,0.4935692515526754,0.3868064636485749,0.43026109762966147,0.46201269347716334
DK,solar,0.09970232972666904,0.09795302471608616,0.0997226811749965,0.10035279037035161,,0.09664251535525505,0.09477818822837634,0.09971669963672063,0.09530288848945567,0.0951488344941262,0.09614480929466862,0.09238022515297453,0.09421958134719872,0.09495462106595844,0.09785935836723224,0.0950845426244614,0.0962545602358684
EE,offwind,0.43914722509582826,0.4259493229948543,0.4405821897705474,0.41314260029238165,,0.4475762243531401,0.4523252935693288,0.41943565800509613,0.42988582920129315,0.4234710183776902,0.4390717496024813,0.44943464784028725,0.45199316047100674,0.4439809427356024,0.4135221511086634,0.4334420029481662,0.4336209966715041
EE,onwind,0.32688100267962866,0.31629820005739645,0.31978331372694413,0.30178580225383994,,0.32065026721918577,0.3198000824524102,0.29428734097759995,0.3063813893343771,0.2988689881933783,0.31136477088940484,0.31694938167611075,0.3162002627000307,0.31386652253659064,0.2862492303007106,0.30124469958123823,0.3010214630942852
EE,ror,0.3997227797694824,0.517426322055784,0.3856448791344815,0.3679396221486883,,0.4898709978650462,0.5561168956287917,0.3125013616815112,0.5166206041157456,0.5177712508387834,0.4083896197533823,0.4959751178153045,0.49995729562299507,0.40383482931683945,0.3856847471744983,0.42118886402846784,0.4371565348958132
EE,solar,0.10436075627077863,0.0979570737779069,0.10081417199309789,0.10291699547627776,,0.09692682279253227,0.09382057031621871,0.10040578299112773,0.09402764384106971,0.09272129716744863,0.09615640297560497,0.09216832501577225,0.08963505124669416,0.09297018887080045,0.09483073994880666,0.09376823226542892,0.09160123345864231
ES,offwind,0.4403817340484283,0.44078064958295166,0.43128557914360716,0.4305585073312385,,0.4418410642108471,0.43137549981814105,0.4235187723627219,0.432942895902427,0.4317550287225189,0.4244976688352332,0.4294442350222307,0.4286609395890536,0.418954249644499,0.42750021220289336,0.42330239503240796,0.42712883792676687
ES,onwind,0.26500869545591277,0.27299357914087563,0.26287624151593425,0.27095273329754616,,0.2758865726122847,0.26445453412922754,0.26061268762787615,0.2722652831848105,0.27332331592863224,0.25985901927481214,0.2645824273772261,0.2669311491816922,0.26035601941277536,0.26625954175848837,0.258168277491627,0.2672489316319295
